Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TAEE3,02/01/2020,10.29,10.42,10.01,10.11,TAESA
TAEE3,03/01/2020,10.19,10.35,10.08,10.29,TAESA
TAEE3,06/01/2020,10.28,10.43,10.14,10.34,TAESA
TAEE3,07/01/2020,10.58,10.58,10.11,10.24,TAESA
TAEE3,08/01/2020,10.26,10.30,10.10,10.24,TAESA
TAEE3,09/01/2020,10.24,10.30,10.04,10.11,TAESA
TAEE3,10/01/2020,10.12,10.29,10.11,10.18,TAESA
TAEE3,13/01/2020,10.18,10.29,10.10,10.29,TAESA
TAEE3,14/01/2020,10.28,10.33,10.17,10.24,TAESA
TAEE3,15/01/2020,10.24,10.35,10.17,10.35,TAESA
TAEE3,16/01/2020,10.36,10.40,10.25,10.30,TAESA
TAEE3,17/01/2020,10.30,10.50,10.30,10.50,TAESA
TAEE3,20/01/2020,10.54,10.80,10.45,10.66,TAESA
TAEE3,21/01/2020,10.81,10.85,10.66,10.66,TAESA
TAEE3,22/01/2020,10.72,10.80,10.54,10.69,TAESA
TAEE3,23/01/2020,10.69,10.85,10.56,10.72,TAESA
TAEE3,24/01/2020,10.73,10.88,10.56,10.69,TAESA
TAEE3,27/01/2020,10.60,10.66,10.26,10.48,TAESA
TAEE3,28/01/2020,10.45,10.77,10.40,10.70,TAESA
TAEE3,29/01/2020,10.64,10.83,10.57,10.58,TAESA
TAEE3,30/01/2020,10.58,10.79,10.35,10.65,TAESA
TAEE3,31/01/2020,10.50,10.58,10.32,10.40,TAESA
TAEE3,03/02/2020,10.39,10.64,10.38,10.46,TAESA
TAEE3,04/02/2020,10.63,10.63,10.39,10.45,TAESA
TAEE3,05/02/2020,10.50,10.55,10.28,10.28,TAESA
TAEE3,06/02/2020,10.39,10.59,10.28,10.28,TAESA
TAEE3,07/02/2020,10.30,10.33,10.10,10.17,TAESA
TAEE3,10/02/2020,10.10,10.23,9.82,10.04,TAESA
TAEE3,11/02/2020,10.06,10.39,10.06,10.30,TAESA
TAEE3,12/02/2020,10.32,10.51,10.22,10.51,TAESA
TAEE3,13/02/2020,10.35,10.48,10.30,10.38,TAESA
TAEE3,14/02/2020,10.38,10.46,10.23,10.30,TAESA
TAEE3,17/02/2020,10.20,10.53,10.20,10.52,TAESA
TAEE3,18/02/2020,10.63,10.63,10.32,10.38,TAESA
