Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TASA3,02/01/2020,5.21,5.34,5.11,5.25,TAURUS ARMAS
TASA3,03/01/2020,5.25,5.47,5.17,5.36,TAURUS ARMAS
TASA3,06/01/2020,5.35,5.60,5.35,5.60,TAURUS ARMAS
TASA3,07/01/2020,5.62,5.69,5.50,5.58,TAURUS ARMAS
TASA3,08/01/2020,5.50,5.62,5.36,5.37,TAURUS ARMAS
TASA3,09/01/2020,5.49,5.52,5.38,5.43,TAURUS ARMAS
TASA3,10/01/2020,5.45,5.54,5.41,5.42,TAURUS ARMAS
TASA3,13/01/2020,5.41,5.50,5.17,5.19,TAURUS ARMAS
TASA3,14/01/2020,5.18,5.34,4.93,5.06,TAURUS ARMAS
TASA3,15/01/2020,5.07,5.29,4.91,5.25,TAURUS ARMAS
TASA3,16/01/2020,5.30,5.30,5.12,5.25,TAURUS ARMAS
TASA3,17/01/2020,5.15,5.28,5.09,5.13,TAURUS ARMAS
TASA3,20/01/2020,5.15,5.21,5.00,5.10,TAURUS ARMAS
TASA3,21/01/2020,5.07,5.16,5.05,5.16,TAURUS ARMAS
TASA3,22/01/2020,5.16,5.25,5.05,5.25,TAURUS ARMAS
TASA3,23/01/2020,5.26,5.52,5.14,5.38,TAURUS ARMAS
TASA3,24/01/2020,5.40,5.41,5.25,5.26,TAURUS ARMAS
TASA3,27/01/2020,6.00,6.24,5.66,5.67,TAURUS ARMAS
TASA3,28/01/2020,5.76,6.04,5.76,5.85,TAURUS ARMAS
TASA3,29/01/2020,5.86,6.00,5.53,5.60,TAURUS ARMAS
TASA3,30/01/2020,5.60,5.60,5.25,5.40,TAURUS ARMAS
TASA3,31/01/2020,5.20,5.46,5.20,5.39,TAURUS ARMAS
TASA3,03/02/2020,5.39,5.48,5.32,5.39,TAURUS ARMAS
TASA3,04/02/2020,5.41,5.69,5.32,5.44,TAURUS ARMAS
TASA3,05/02/2020,5.45,5.50,5.32,5.40,TAURUS ARMAS
TASA3,06/02/2020,5.40,5.45,5.21,5.29,TAURUS ARMAS
TASA3,07/02/2020,5.23,5.30,5.15,5.15,TAURUS ARMAS
TASA3,10/02/2020,5.15,5.29,4.83,4.95,TAURUS ARMAS
TASA3,11/02/2020,5.08,5.18,4.98,5.09,TAURUS ARMAS
TASA3,12/02/2020,5.19,5.19,5.04,5.16,TAURUS ARMAS
TASA3,13/02/2020,5.13,5.13,4.99,5.10,TAURUS ARMAS
TASA3,14/02/2020,5.12,5.27,4.95,5.15,TAURUS ARMAS
TASA3,17/02/2020,5.15,5.15,5.00,5.09,TAURUS ARMAS
TASA3,18/02/2020,5.00,5.08,4.91,5.06,TAURUS ARMAS
TASA3,19/02/2020,5.08,5.18,5.00,5.03,TAURUS ARMAS
TASA3,20/02/2020,5.01,5.07,4.84,4.90,TAURUS ARMAS
TASA3,21/02/2020,4.88,4.99,4.74,4.80,TAURUS ARMAS
TASA3,26/02/2020,4.49,4.53,4.30,4.37,TAURUS ARMAS
TASA3,27/02/2020,4.35,4.35,4.01,4.05,TAURUS ARMAS
TASA3,28/02/2020,4.01,4.10,3.85,3.90,TAURUS ARMAS
TASA3,02/03/2020,3.92,4.35,3.92,4.23,TAURUS ARMAS
TASA3,03/03/2020,4.34,4.65,4.25,4.39,TAURUS ARMAS
TASA3,04/03/2020,4.45,4.65,4.41,4.50,TAURUS ARMAS
TASA3,05/03/2020,4.50,4.59,4.07,4.33,TAURUS ARMAS
TASA3,06/03/2020,3.98,4.08,3.86,4.08,TAURUS ARMAS
TASA3,09/03/2020,3.78,3.83,3.40,3.43,TAURUS ARMAS
TASA3,10/03/2020,3.90,3.98,3.71,3.84,TAURUS ARMAS
TASA3,11/03/2020,3.84,3.85,3.44,3.80,TAURUS ARMAS
TASA3,12/03/2020,3.32,3.45,3.20,3.44,TAURUS ARMAS
TASA3,13/03/2020,3.71,4.02,3.31,3.61,TAURUS ARMAS
TASA3,16/03/2020,3.55,3.55,3.00,3.10,TAURUS ARMAS
TASA3,17/03/2020,3.35,3.40,3.03,3.03,TAURUS ARMAS
TASA3,18/03/2020,2.80,2.86,2.30,2.44,TAURUS ARMAS
TASA3,19/03/2020,2.16,2.57,2.09,2.52,TAURUS ARMAS
TASA3,20/03/2020,2.54,3.01,2.52,2.52,TAURUS ARMAS
TASA3,23/03/2020,2.50,2.65,2.31,2.55,TAURUS ARMAS
TASA3,24/03/2020,2.70,2.85,2.57,2.57,TAURUS ARMAS
TASA3,25/03/2020,2.61,3.05,2.60,2.95,TAURUS ARMAS
TASA3,26/03/2020,2.90,3.35,2.90,3.23,TAURUS ARMAS
TASA3,27/03/2020,3.18,3.50,3.00,3.22,TAURUS ARMAS
TASA3,30/03/2020,3.56,3.70,3.38,3.50,TAURUS ARMAS
TASA3,31/03/2020,3.65,4.00,3.52,3.58,TAURUS ARMAS
TASA3,01/04/2020,3.49,3.63,3.17,3.63,TAURUS ARMAS
TASA3,02/04/2020,3.90,3.90,3.48,3.55,TAURUS ARMAS
TASA3,03/04/2020,3.69,3.69,3.25,3.35,TAURUS ARMAS
TASA3,06/04/2020,3.59,3.64,3.46,3.54,TAURUS ARMAS
