Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TCSA3,02/01/2020,1.85,2.00,1.84,1.95,TECNISA
TCSA3,03/01/2020,1.92,1.98,1.90,1.95,TECNISA
TCSA3,06/01/2020,1.94,1.99,1.89,1.93,TECNISA
TCSA3,07/01/2020,1.94,1.96,1.92,1.93,TECNISA
TCSA3,08/01/2020,1.93,1.94,1.86,1.88,TECNISA
TCSA3,09/01/2020,1.90,1.91,1.75,1.80,TECNISA
TCSA3,10/01/2020,1.82,1.90,1.78,1.87,TECNISA
TCSA3,13/01/2020,1.90,1.95,1.86,1.90,TECNISA
TCSA3,14/01/2020,1.91,1.95,1.87,1.94,TECNISA
TCSA3,15/01/2020,1.95,1.96,1.91,1.92,TECNISA
TCSA3,16/01/2020,1.93,1.94,1.87,1.89,TECNISA
TCSA3,17/01/2020,1.89,1.90,1.86,1.89,TECNISA
TCSA3,20/01/2020,1.88,2.16,1.87,2.15,TECNISA
TCSA3,21/01/2020,2.12,2.24,2.05,2.05,TECNISA
TCSA3,22/01/2020,2.09,2.19,2.08,2.17,TECNISA
TCSA3,23/01/2020,2.19,2.27,2.13,2.19,TECNISA
TCSA3,24/01/2020,2.20,2.23,2.13,2.15,TECNISA
TCSA3,27/01/2020,2.06,2.13,1.97,2.00,TECNISA
TCSA3,28/01/2020,2.06,2.10,1.97,2.02,TECNISA
TCSA3,29/01/2020,2.05,2.07,1.98,1.99,TECNISA
TCSA3,30/01/2020,1.92,1.93,1.82,1.89,TECNISA
TCSA3,31/01/2020,1.86,1.91,1.83,1.83,TECNISA
TCSA3,03/02/2020,1.84,1.99,1.84,1.99,TECNISA
TCSA3,04/02/2020,2.07,2.09,1.99,2.00,TECNISA
TCSA3,05/02/2020,2.05,2.07,1.97,2.00,TECNISA
TCSA3,06/02/2020,2.00,2.01,1.90,1.91,TECNISA
TCSA3,07/02/2020,1.90,1.94,1.85,1.87,TECNISA
TCSA3,10/02/2020,1.87,1.92,1.81,1.82,TECNISA
TCSA3,11/02/2020,1.85,1.94,1.83,1.87,TECNISA
TCSA3,12/02/2020,1.89,1.91,1.82,1.83,TECNISA
TCSA3,13/02/2020,1.81,1.83,1.77,1.81,TECNISA
TCSA3,14/02/2020,1.83,1.85,1.77,1.77,TECNISA
TCSA3,17/02/2020,1.80,1.81,1.72,1.73,TECNISA
TCSA3,18/02/2020,1.71,1.76,1.65,1.74,TECNISA
TCSA3,19/02/2020,1.75,1.80,1.69,1.69,TECNISA
TCSA3,20/02/2020,1.71,1.73,1.67,1.68,TECNISA
TCSA3,21/02/2020,1.69,1.72,1.65,1.69,TECNISA
TCSA3,26/02/2020,1.59,1.61,1.49,1.51,TECNISA
TCSA3,27/02/2020,1.48,1.59,1.44,1.52,TECNISA
TCSA3,28/02/2020,1.51,1.54,1.44,1.50,TECNISA
TCSA3,02/03/2020,1.52,1.64,1.51,1.60,TECNISA
TCSA3,03/03/2020,1.63,1.67,1.55,1.56,TECNISA
TCSA3,04/03/2020,1.63,1.64,1.58,1.61,TECNISA
TCSA3,05/03/2020,1.60,1.61,1.46,1.50,TECNISA
TCSA3,06/03/2020,1.43,1.48,1.38,1.41,TECNISA
TCSA3,09/03/2020,1.22,1.28,1.13,1.22,TECNISA
TCSA3,10/03/2020,1.30,1.37,1.26,1.32,TECNISA
TCSA3,11/03/2020,1.29,1.32,1.16,1.21,TECNISA
TCSA3,12/03/2020,1.03,1.08,0.97,0.99,TECNISA
TCSA3,13/03/2020,1.12,1.13,0.96,1.06,TECNISA
TCSA3,16/03/2020,0.94,0.99,0.92,0.92,TECNISA
TCSA3,17/03/2020,0.96,0.97,0.84,0.85,TECNISA
TCSA3,18/03/2020,0.76,0.78,0.60,0.65,TECNISA
TCSA3,19/03/2020,0.53,0.72,0.49,0.68,TECNISA
TCSA3,20/03/2020,0.74,0.77,0.63,0.65,TECNISA
TCSA3,23/03/2020,0.65,0.66,0.57,0.60,TECNISA
TCSA3,24/03/2020,0.65,0.72,0.64,0.68,TECNISA
TCSA3,25/03/2020,0.68,0.85,0.68,0.80,TECNISA
TCSA3,26/03/2020,0.79,0.89,0.76,0.78,TECNISA
TCSA3,27/03/2020,0.72,0.83,0.72,0.78,TECNISA
TCSA3,30/03/2020,0.81,0.84,0.76,0.79,TECNISA
TCSA3,31/03/2020,0.79,0.81,0.73,0.74,TECNISA
TCSA3,01/04/2020,0.70,0.73,0.65,0.71,TECNISA
TCSA3,02/04/2020,0.73,0.74,0.65,0.67,TECNISA
TCSA3,03/04/2020,0.67,0.67,0.62,0.65,TECNISA
TCSA3,06/04/2020,0.69,0.70,0.65,0.66,TECNISA
TCSA3,07/04/2020,0.71,0.72,0.64,0.66,TECNISA
TCSA3,08/04/2020,0.66,0.69,0.64,0.67,TECNISA
TCSA3,09/04/2020,0.68,0.71,0.67,0.68,TECNISA
TCSA3,13/04/2020,0.68,0.71,0.67,0.71,TECNISA
TCSA3,14/04/2020,0.73,0.75,0.72,0.74,TECNISA
TCSA3,15/04/2020,0.70,0.81,0.70,0.77,TECNISA
TCSA3,16/04/2020,0.79,0.82,0.75,0.76,TECNISA
TCSA3,17/04/2020,0.79,0.80,0.75,0.76,TECNISA
TCSA3,20/04/2020,0.73,0.80,0.72,0.78,TECNISA
TCSA3,22/04/2020,0.78,0.88,0.78,0.84,TECNISA
TCSA3,23/04/2020,0.88,0.91,0.80,0.81,TECNISA
TCSA3,24/04/2020,0.79,0.80,0.69,0.71,TECNISA
TCSA3,27/04/2020,0.75,0.76,0.72,0.73,TECNISA
TCSA3,28/04/2020,0.77,0.82,0.75,0.79,TECNISA
TCSA3,29/04/2020,0.83,0.84,0.79,0.81,TECNISA
TCSA3,30/04/2020,0.80,0.82,0.76,0.78,TECNISA
TCSA3,04/05/2020,0.76,0.78,0.74,0.76,TECNISA
TCSA3,05/05/2020,0.78,0.79,0.76,0.77,TECNISA
TCSA3,06/05/2020,0.75,0.77,0.73,0.73,TECNISA
TCSA3,07/05/2020,0.75,0.75,0.68,0.68,TECNISA
TCSA3,08/05/2020,0.70,0.70,0.67,0.68,TECNISA
TCSA3,11/05/2020,0.67,0.68,0.65,0.65,TECNISA
TCSA3,12/05/2020,0.66,0.67,0.62,0.62,TECNISA
TCSA3,13/05/2020,0.62,0.64,0.58,0.61,TECNISA
TCSA3,14/05/2020,0.58,0.63,0.56,0.61,TECNISA
TCSA3,15/05/2020,0.58,0.62,0.58,0.60,TECNISA
TCSA3,18/05/2020,0.62,0.64,0.59,0.64,TECNISA
TCSA3,19/05/2020,0.63,0.66,0.61,0.62,TECNISA
TCSA3,20/05/2020,0.63,0.64,0.61,0.61,TECNISA
TCSA3,21/05/2020,0.62,0.63,0.61,0.63,TECNISA
TCSA3,22/05/2020,0.61,0.63,0.60,0.62,TECNISA
TCSA3,25/05/2020,0.64,0.68,0.63,0.67,TECNISA
TCSA3,26/05/2020,0.69,0.72,0.67,0.69,TECNISA
TCSA3,27/05/2020,0.70,0.76,0.69,0.75,TECNISA
