Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TECN3,02/01/2020,3.74,3.84,3.45,3.45,TECHNOS
TECN3,03/01/2020,3.42,3.43,3.15,3.22,TECHNOS
TECN3,06/01/2020,3.11,3.40,3.09,3.13,TECHNOS
TECN3,07/01/2020,3.13,3.31,3.12,3.25,TECHNOS
TECN3,08/01/2020,3.20,3.27,3.10,3.18,TECHNOS
TECN3,09/01/2020,3.26,3.60,3.25,3.57,TECHNOS
TECN3,10/01/2020,3.63,3.78,3.34,3.37,TECHNOS
TECN3,13/01/2020,3.54,3.54,3.30,3.41,TECHNOS
TECN3,14/01/2020,3.38,3.50,3.35,3.36,TECHNOS
TECN3,15/01/2020,3.34,3.48,3.34,3.42,TECHNOS
TECN3,16/01/2020,3.41,3.70,3.41,3.53,TECHNOS
TECN3,17/01/2020,3.63,3.67,3.43,3.48,TECHNOS
TECN3,20/01/2020,3.52,3.52,3.31,3.32,TECHNOS
TECN3,21/01/2020,3.30,3.36,3.21,3.28,TECHNOS
TECN3,22/01/2020,3.33,3.35,3.21,3.25,TECHNOS
TECN3,23/01/2020,3.20,3.23,3.16,3.17,TECHNOS
TECN3,24/01/2020,3.23,3.28,3.13,3.18,TECHNOS
TECN3,27/01/2020,3.10,3.17,3.00,3.01,TECHNOS
TECN3,28/01/2020,3.01,3.09,2.97,2.97,TECHNOS
TECN3,29/01/2020,2.98,3.08,2.78,2.81,TECHNOS
TECN3,30/01/2020,2.76,2.94,2.66,2.94,TECHNOS
TECN3,31/01/2020,2.90,2.96,2.77,2.77,TECHNOS
TECN3,03/02/2020,2.80,2.85,2.75,2.75,TECHNOS
TECN3,04/02/2020,2.80,3.01,2.80,3.00,TECHNOS
TECN3,05/02/2020,3.06,3.14,2.93,2.98,TECHNOS
TECN3,06/02/2020,3.02,3.07,2.82,2.86,TECHNOS
TECN3,07/02/2020,2.85,2.87,2.72,2.82,TECHNOS
TECN3,10/02/2020,2.82,2.83,2.66,2.73,TECHNOS
TECN3,11/02/2020,2.73,2.88,2.69,2.88,TECHNOS
TECN3,12/02/2020,2.90,2.90,2.80,2.82,TECHNOS
TECN3,13/02/2020,2.79,2.81,2.70,2.81,TECHNOS
TECN3,14/02/2020,2.80,2.84,2.72,2.74,TECHNOS
TECN3,17/02/2020,2.80,2.81,2.75,2.80,TECHNOS
TECN3,18/02/2020,2.80,2.80,2.66,2.69,TECHNOS
TECN3,19/02/2020,2.70,2.76,2.66,2.76,TECHNOS
TECN3,20/02/2020,2.76,2.76,2.65,2.74,TECHNOS
TECN3,21/02/2020,2.66,2.77,2.66,2.77,TECHNOS
TECN3,26/02/2020,2.60,2.60,2.44,2.53,TECHNOS
TECN3,27/02/2020,2.55,2.59,2.42,2.46,TECHNOS
TECN3,28/02/2020,2.46,2.46,2.28,2.35,TECHNOS
TECN3,02/03/2020,2.36,2.49,2.36,2.43,TECHNOS
TECN3,03/03/2020,2.47,2.58,2.40,2.47,TECHNOS
TECN3,04/03/2020,2.55,2.55,2.39,2.41,TECHNOS
TECN3,05/03/2020,2.41,2.41,2.18,2.24,TECHNOS
TECN3,06/03/2020,2.21,2.26,2.05,2.21,TECHNOS
TECN3,09/03/2020,2.09,2.09,1.95,1.98,TECHNOS
TECN3,10/03/2020,2.05,2.17,2.04,2.15,TECHNOS
TECN3,11/03/2020,2.10,2.15,1.93,2.02,TECHNOS
TECN3,12/03/2020,1.85,1.85,1.60,1.80,TECHNOS
TECN3,13/03/2020,1.99,2.00,1.77,1.87,TECHNOS
TECN3,16/03/2020,1.60,1.80,1.60,1.65,TECHNOS
