Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TEND3,02/01/2020,30.31,31.55,30.00,31.48,TENDA
TEND3,03/01/2020,31.37,31.63,30.72,31.52,TENDA
TEND3,06/01/2020,31.52,31.56,30.71,31.56,TENDA
TEND3,07/01/2020,31.60,32.83,31.20,32.55,TENDA
TEND3,08/01/2020,32.42,32.61,31.96,32.30,TENDA
TEND3,09/01/2020,32.31,32.65,32.13,32.45,TENDA
TEND3,10/01/2020,32.58,33.39,32.42,33.15,TENDA
TEND3,13/01/2020,33.26,33.98,32.78,33.44,TENDA
TEND3,14/01/2020,33.43,34.89,33.08,34.89,TENDA
TEND3,15/01/2020,34.93,35.75,34.55,35.25,TENDA
TEND3,16/01/2020,35.25,35.58,35.11,35.30,TENDA
TEND3,17/01/2020,35.41,36.50,34.66,36.50,TENDA
TEND3,20/01/2020,36.40,37.20,36.08,37.20,TENDA
TEND3,21/01/2020,37.20,38.27,36.94,38.00,TENDA
TEND3,22/01/2020,39.16,39.16,38.21,38.50,TENDA
TEND3,23/01/2020,38.50,38.60,37.95,38.39,TENDA
TEND3,24/01/2020,38.50,38.50,37.55,37.80,TENDA
TEND3,27/01/2020,37.40,37.53,36.40,37.27,TENDA
TEND3,28/01/2020,36.90,37.90,36.47,36.57,TENDA
TEND3,29/01/2020,36.71,37.87,36.71,37.25,TENDA
TEND3,30/01/2020,36.97,36.97,35.51,36.46,TENDA
TEND3,31/01/2020,36.07,36.71,35.78,35.78,TENDA
TEND3,03/02/2020,35.80,37.40,35.80,36.78,TENDA
TEND3,04/02/2020,37.50,38.92,37.50,37.93,TENDA
TEND3,05/02/2020,38.39,38.76,38.15,38.15,TENDA
TEND3,06/02/2020,38.25,38.56,36.50,36.55,TENDA
TEND3,07/02/2020,35.95,37.15,35.72,36.07,TENDA
TEND3,10/02/2020,36.06,36.22,34.69,35.28,TENDA
TEND3,11/02/2020,35.67,36.39,35.45,36.39,TENDA
TEND3,12/02/2020,36.61,37.00,36.13,36.21,TENDA
TEND3,13/02/2020,35.88,37.07,34.81,36.50,TENDA
TEND3,14/02/2020,36.49,36.49,35.40,35.70,TENDA
TEND3,17/02/2020,35.87,36.68,35.63,36.20,TENDA
TEND3,18/02/2020,35.99,36.79,35.76,36.76,TENDA
TEND3,19/02/2020,36.76,37.89,36.48,37.70,TENDA
TEND3,20/02/2020,37.70,39.22,37.35,39.00,TENDA
TEND3,21/02/2020,38.95,40.33,38.40,39.58,TENDA
TEND3,26/02/2020,37.32,38.11,36.59,37.45,TENDA
TEND3,27/02/2020,37.20,37.20,35.04,35.27,TENDA
TEND3,28/02/2020,34.67,35.07,33.42,35.07,TENDA
TEND3,02/03/2020,37.00,37.40,35.86,37.07,TENDA
TEND3,03/03/2020,37.30,38.22,36.01,36.47,TENDA
TEND3,04/03/2020,37.47,38.90,36.74,38.30,TENDA
TEND3,05/03/2020,38.30,38.30,34.26,34.75,TENDA
TEND3,06/03/2020,33.62,34.21,31.73,34.19,TENDA
TEND3,09/03/2020,31.99,32.23,29.70,29.90,TENDA
TEND3,10/03/2020,30.63,32.77,30.63,31.83,TENDA
TEND3,11/03/2020,30.65,31.80,28.84,30.48,TENDA
TEND3,12/03/2020,26.50,26.92,23.80,25.58,TENDA
TEND3,13/03/2020,30.00,30.50,24.91,26.50,TENDA
TEND3,16/03/2020,23.47,24.15,20.74,20.74,TENDA
TEND3,17/03/2020,21.52,22.63,20.65,21.46,TENDA
TEND3,18/03/2020,20.20,20.32,16.98,17.86,TENDA
TEND3,19/03/2020,17.00,19.20,15.44,19.20,TENDA
TEND3,20/03/2020,19.50,21.49,19.50,20.80,TENDA
TEND3,23/03/2020,20.68,20.91,18.67,19.75,TENDA
TEND3,24/03/2020,21.05,22.49,20.45,21.15,TENDA
TEND3,25/03/2020,21.15,23.35,21.10,22.75,TENDA
TEND3,26/03/2020,22.74,26.24,22.30,24.12,TENDA
TEND3,27/03/2020,22.80,24.58,22.08,23.07,TENDA
TEND3,30/03/2020,23.28,24.16,22.20,22.75,TENDA
TEND3,31/03/2020,22.89,22.89,20.62,20.62,TENDA
TEND3,01/04/2020,19.99,20.07,18.33,19.32,TENDA
TEND3,02/04/2020,19.64,20.00,19.08,20.00,TENDA
TEND3,03/04/2020,19.80,19.81,18.31,19.38,TENDA
TEND3,06/04/2020,20.29,21.65,19.87,20.65,TENDA
TEND3,07/04/2020,21.21,23.17,21.21,21.72,TENDA
TEND3,08/04/2020,21.82,22.94,21.23,22.61,TENDA
TEND3,09/04/2020,22.85,23.90,22.34,22.90,TENDA
TEND3,13/04/2020,22.95,22.96,21.63,22.22,TENDA
TEND3,14/04/2020,22.50,23.23,22.09,23.07,TENDA
TEND3,15/04/2020,22.99,22.99,21.43,22.17,TENDA
TEND3,16/04/2020,22.21,22.62,21.35,22.29,TENDA
TEND3,17/04/2020,22.48,22.84,21.46,21.60,TENDA
TEND3,20/04/2020,21.00,22.16,20.54,21.70,TENDA
TEND3,22/04/2020,21.80,23.90,21.79,23.67,TENDA
TEND3,23/04/2020,23.91,24.91,22.94,23.33,TENDA
TEND3,24/04/2020,23.00,23.00,19.75,20.65,TENDA
TEND3,27/04/2020,20.81,21.66,20.56,21.59,TENDA
TEND3,28/04/2020,21.90,23.71,21.84,22.90,TENDA
TEND3,29/04/2020,23.47,24.78,23.21,24.25,TENDA
TEND3,30/04/2020,24.15,24.30,23.23,23.24,TENDA
TEND3,04/05/2020,22.59,22.98,21.52,22.35,TENDA
TEND3,05/05/2020,22.68,23.32,22.23,22.23,TENDA
TEND3,06/05/2020,22.44,22.79,21.46,21.55,TENDA
TEND3,07/05/2020,21.94,22.04,20.16,20.30,TENDA
TEND3,08/05/2020,20.08,20.74,19.90,20.50,TENDA
TEND3,11/05/2020,20.50,20.50,19.82,20.12,TENDA
TEND3,12/05/2020,19.90,20.65,19.11,19.29,TENDA
TEND3,13/05/2020,19.44,19.44,18.15,18.90,TENDA
TEND3,14/05/2020,18.80,19.37,18.24,19.31,TENDA
TEND3,15/05/2020,19.20,19.57,18.50,19.40,TENDA
TEND3,18/05/2020,19.78,21.32,19.29,21.11,TENDA
TEND3,19/05/2020,20.64,21.68,20.55,21.07,TENDA
TEND3,20/05/2020,21.23,21.85,20.91,21.29,TENDA
TEND3,21/05/2020,21.32,22.55,21.24,22.31,TENDA
TEND3,22/05/2020,22.20,22.46,21.43,21.90,TENDA
TEND3,25/05/2020,22.55,23.68,22.02,23.58,TENDA
TEND3,26/05/2020,24.00,24.61,23.77,24.00,TENDA
TEND3,27/05/2020,23.79,25.56,23.76,25.32,TENDA
TEND3,28/05/2020,25.32,25.49,24.84,25.14,TENDA
TEND3,29/05/2020,25.14,25.15,24.01,25.09,TENDA
TEND3,01/06/2020,25.14,25.70,24.60,25.70,TENDA
TEND3,02/06/2020,25.95,27.00,25.80,26.34,TENDA
TEND3,03/06/2020,26.90,28.87,26.85,27.89,TENDA
TEND3,04/06/2020,27.95,28.68,26.96,27.14,TENDA
TEND3,05/06/2020,28.02,28.72,27.59,28.38,TENDA
TEND3,08/06/2020,28.56,29.26,28.13,29.26,TENDA
TEND3,09/06/2020,28.80,29.49,28.03,29.11,TENDA
TEND3,10/06/2020,29.40,29.75,27.60,27.90,TENDA
TEND3,12/06/2020,26.99,28.05,26.36,27.76,TENDA
TEND3,15/06/2020,27.05,28.20,26.31,27.37,TENDA
TEND3,16/06/2020,28.00,28.97,27.34,27.80,TENDA
TEND3,17/06/2020,27.80,29.51,27.74,29.00,TENDA
TEND3,18/06/2020,28.95,30.10,28.37,28.55,TENDA
TEND3,19/06/2020,29.40,29.61,28.27,28.62,TENDA
TEND3,22/06/2020,29.00,31.74,28.89,30.32,TENDA
TEND3,23/06/2020,30.75,30.99,29.66,30.90,TENDA
TEND3,24/06/2020,30.97,31.24,29.85,30.37,TENDA
TEND3,25/06/2020,30.42,31.04,29.70,31.04,TENDA
TEND3,26/06/2020,31.04,31.18,29.09,29.52,TENDA
TEND3,29/06/2020,29.52,30.54,28.61,30.54,TENDA
TEND3,30/06/2020,30.55,31.47,29.82,31.01,TENDA
