Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TGMA3,02/01/2020,37.40,38.92,37.40,38.73,TEGMA
TGMA3,03/01/2020,38.70,39.77,38.40,39.65,TEGMA
TGMA3,06/01/2020,39.80,39.88,38.88,39.40,TEGMA
TGMA3,07/01/2020,39.99,39.99,38.79,39.35,TEGMA
TGMA3,08/01/2020,39.00,39.98,39.00,39.51,TEGMA
TGMA3,09/01/2020,39.88,40.12,39.12,39.47,TEGMA
TGMA3,10/01/2020,39.37,40.52,39.37,40.09,TEGMA
TGMA3,13/01/2020,40.39,40.63,39.64,40.00,TEGMA
TGMA3,14/01/2020,39.99,40.30,39.61,40.30,TEGMA
TGMA3,15/01/2020,40.08,40.66,39.68,40.20,TEGMA
TGMA3,16/01/2020,40.50,40.64,39.55,39.75,TEGMA
TGMA3,17/01/2020,40.23,40.41,39.45,40.34,TEGMA
TGMA3,20/01/2020,40.56,41.01,40.19,41.01,TEGMA
TGMA3,21/01/2020,41.14,41.41,40.19,40.34,TEGMA
TGMA3,22/01/2020,40.34,40.99,40.21,40.30,TEGMA
TGMA3,23/01/2020,40.51,41.04,39.72,40.81,TEGMA
TGMA3,24/01/2020,40.85,41.25,40.56,41.00,TEGMA
TGMA3,27/01/2020,40.55,40.96,39.59,39.95,TEGMA
TGMA3,28/01/2020,40.40,40.98,40.15,40.83,TEGMA
TGMA3,29/01/2020,40.68,41.55,40.55,41.27,TEGMA
TGMA3,30/01/2020,40.76,41.29,39.78,40.99,TEGMA
TGMA3,31/01/2020,40.78,40.79,39.75,39.75,TEGMA
TGMA3,03/02/2020,39.75,40.55,38.89,40.12,TEGMA
TGMA3,04/02/2020,40.28,41.08,40.22,40.25,TEGMA
TGMA3,05/02/2020,40.94,40.94,39.55,39.90,TEGMA
TGMA3,06/02/2020,39.90,40.54,39.76,39.95,TEGMA
TGMA3,07/02/2020,40.00,40.09,38.52,39.44,TEGMA
TGMA3,10/02/2020,39.02,39.15,37.66,38.64,TEGMA
TGMA3,11/02/2020,39.00,39.99,38.66,39.74,TEGMA
TGMA3,12/02/2020,39.98,40.24,39.33,40.00,TEGMA
TGMA3,13/02/2020,40.38,40.38,39.14,39.72,TEGMA
TGMA3,14/02/2020,39.27,40.15,39.11,39.57,TEGMA
TGMA3,17/02/2020,39.57,40.00,39.10,40.00,TEGMA
TGMA3,18/02/2020,40.20,40.20,39.43,39.99,TEGMA
TGMA3,19/02/2020,39.99,40.63,39.88,40.60,TEGMA
TGMA3,20/02/2020,40.58,40.87,39.51,40.00,TEGMA
TGMA3,21/02/2020,39.94,39.94,38.99,39.25,TEGMA
TGMA3,26/02/2020,37.88,37.90,36.11,36.50,TEGMA
TGMA3,27/02/2020,35.99,37.07,35.17,36.29,TEGMA
TGMA3,28/02/2020,35.71,35.72,33.89,35.20,TEGMA
TGMA3,02/03/2020,35.23,36.16,34.60,35.50,TEGMA
TGMA3,03/03/2020,35.59,36.31,34.68,35.50,TEGMA
TGMA3,04/03/2020,36.26,36.26,34.53,35.57,TEGMA
TGMA3,05/03/2020,34.98,35.10,32.53,32.53,TEGMA
TGMA3,06/03/2020,30.51,31.48,29.80,30.20,TEGMA
TGMA3,09/03/2020,27.63,28.23,26.08,26.50,TEGMA
TGMA3,10/03/2020,27.60,29.61,26.12,28.00,TEGMA
TGMA3,11/03/2020,27.80,27.80,24.51,25.38,TEGMA
TGMA3,12/03/2020,23.95,23.95,18.80,20.21,TEGMA
TGMA3,13/03/2020,25.90,25.90,19.02,23.79,TEGMA
TGMA3,16/03/2020,21.26,21.26,19.36,19.96,TEGMA
TGMA3,17/03/2020,20.83,22.82,19.16,22.00,TEGMA
TGMA3,18/03/2020,19.80,20.00,16.08,20.00,TEGMA
TGMA3,19/03/2020,19.50,23.00,17.13,23.00,TEGMA
TGMA3,20/03/2020,23.88,23.98,19.00,20.11,TEGMA
TGMA3,23/03/2020,19.99,19.99,17.00,18.36,TEGMA
TGMA3,24/03/2020,20.55,22.53,19.00,19.64,TEGMA
TGMA3,25/03/2020,19.64,21.70,19.64,21.35,TEGMA
TGMA3,26/03/2020,21.35,26.80,21.02,22.88,TEGMA
TGMA3,27/03/2020,22.82,23.80,20.87,23.00,TEGMA
TGMA3,30/03/2020,24.46,24.63,22.03,22.46,TEGMA
TGMA3,31/03/2020,22.37,24.44,20.51,20.69,TEGMA
TGMA3,01/04/2020,20.40,20.40,18.06,18.69,TEGMA
TGMA3,02/04/2020,19.17,19.49,16.86,17.50,TEGMA
TGMA3,03/04/2020,17.01,17.02,15.95,16.07,TEGMA
TGMA3,06/04/2020,17.70,17.99,16.76,16.90,TEGMA
TGMA3,07/04/2020,17.84,18.82,17.70,17.93,TEGMA
TGMA3,08/04/2020,18.29,18.29,17.43,18.14,TEGMA
TGMA3,09/04/2020,18.56,19.16,17.65,17.71,TEGMA
TGMA3,13/04/2020,17.72,18.00,17.29,17.89,TEGMA
TGMA3,14/04/2020,18.48,19.00,18.05,18.26,TEGMA
TGMA3,15/04/2020,17.83,19.48,17.60,19.04,TEGMA
TGMA3,16/04/2020,19.21,19.82,18.20,18.67,TEGMA
TGMA3,17/04/2020,19.19,19.52,18.57,18.89,TEGMA
TGMA3,20/04/2020,18.80,18.80,17.74,18.49,TEGMA
TGMA3,22/04/2020,18.09,21.00,18.09,19.90,TEGMA
TGMA3,23/04/2020,20.16,21.55,18.30,18.98,TEGMA
TGMA3,24/04/2020,18.98,19.03,16.02,18.33,TEGMA
TGMA3,27/04/2020,18.70,18.84,17.69,17.69,TEGMA
TGMA3,28/04/2020,18.11,18.47,18.03,18.30,TEGMA
TGMA3,29/04/2020,18.75,19.71,18.25,19.65,TEGMA
TGMA3,30/04/2020,19.15,20.25,18.73,18.80,TEGMA
TGMA3,04/05/2020,18.35,18.51,17.59,18.39,TEGMA
TGMA3,05/05/2020,18.70,20.45,18.30,20.33,TEGMA
TGMA3,06/05/2020,20.32,20.76,18.99,19.70,TEGMA
TGMA3,07/05/2020,19.90,19.99,18.34,18.50,TEGMA
TGMA3,08/05/2020,18.73,18.73,17.53,18.40,TEGMA
TGMA3,11/05/2020,18.31,18.31,17.47,17.51,TEGMA
TGMA3,12/05/2020,17.52,17.85,16.56,16.62,TEGMA
TGMA3,13/05/2020,17.00,17.22,15.38,15.68,TEGMA
TGMA3,14/05/2020,15.54,17.50,15.24,17.25,TEGMA
TGMA3,15/05/2020,17.17,17.65,16.41,17.04,TEGMA
TGMA3,18/05/2020,17.21,18.86,17.21,18.85,TEGMA
TGMA3,19/05/2020,18.84,19.07,18.34,18.55,TEGMA
TGMA3,20/05/2020,18.83,19.04,18.35,18.90,TEGMA
TGMA3,21/05/2020,19.00,19.42,18.70,18.91,TEGMA
TGMA3,22/05/2020,18.51,18.75,17.79,18.05,TEGMA
TGMA3,25/05/2020,18.73,19.35,18.52,19.21,TEGMA
