Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TIET11,02/01/2020,16.07,16.11,15.54,15.74,AES TIETE E
TIET11,03/01/2020,15.43,15.72,15.38,15.62,AES TIETE E
TIET11,06/01/2020,15.69,15.98,15.29,15.98,AES TIETE E
TIET11,07/01/2020,15.98,15.98,15.40,15.48,AES TIETE E
TIET11,08/01/2020,15.45,15.48,14.95,15.10,AES TIETE E
TIET11,09/01/2020,15.19,15.27,15.04,15.04,AES TIETE E
TIET11,10/01/2020,15.12,15.40,15.11,15.29,AES TIETE E
TIET11,13/01/2020,15.35,15.57,15.30,15.57,AES TIETE E
TIET11,14/01/2020,15.57,15.68,15.35,15.68,AES TIETE E
TIET11,15/01/2020,15.65,15.80,15.53,15.65,AES TIETE E
TIET11,16/01/2020,15.67,15.81,15.62,15.64,AES TIETE E
TIET11,17/01/2020,15.65,15.84,15.59,15.84,AES TIETE E
TIET11,20/01/2020,15.77,16.37,15.69,16.33,AES TIETE E
TIET11,21/01/2020,16.32,16.78,16.22,16.30,AES TIETE E
TIET11,22/01/2020,16.31,16.64,16.31,16.55,AES TIETE E
TIET11,23/01/2020,16.50,16.90,16.32,16.90,AES TIETE E
TIET11,24/01/2020,16.90,16.90,16.54,16.70,AES TIETE E
TIET11,27/01/2020,16.44,16.45,15.86,15.86,AES TIETE E
TIET11,28/01/2020,15.86,16.33,15.40,16.19,AES TIETE E
TIET11,29/01/2020,16.23,16.29,15.82,15.94,AES TIETE E
TIET11,30/01/2020,15.80,15.89,15.50,15.75,AES TIETE E
TIET11,31/01/2020,15.70,15.73,15.14,15.25,AES TIETE E
TIET11,03/02/2020,15.25,15.67,15.25,15.40,AES TIETE E
TIET11,04/02/2020,15.66,15.79,15.35,15.44,AES TIETE E
TIET11,05/02/2020,15.49,15.72,15.44,15.51,AES TIETE E
TIET11,06/02/2020,15.59,15.78,15.41,15.60,AES TIETE E
TIET11,07/02/2020,15.61,15.61,15.13,15.23,AES TIETE E
TIET11,10/02/2020,15.27,15.28,14.77,15.00,AES TIETE E
TIET11,11/02/2020,15.05,15.37,15.05,15.28,AES TIETE E
TIET11,12/02/2020,15.35,16.17,15.30,15.83,AES TIETE E
TIET11,13/02/2020,15.70,16.05,15.39,16.01,AES TIETE E
TIET11,14/02/2020,16.01,16.17,15.82,16.05,AES TIETE E
TIET11,17/02/2020,16.20,16.20,15.77,15.81,AES TIETE E
TIET11,18/02/2020,15.81,15.91,15.67,15.75,AES TIETE E
TIET11,19/02/2020,15.75,15.88,15.55,15.75,AES TIETE E
TIET11,20/02/2020,15.78,15.78,15.32,15.59,AES TIETE E
TIET11,21/02/2020,15.53,15.62,15.38,15.57,AES TIETE E
TIET11,26/02/2020,15.00,15.13,14.70,14.93,AES TIETE E
TIET11,27/02/2020,14.85,15.28,14.50,14.72,AES TIETE E
TIET11,28/02/2020,14.72,15.21,14.31,15.21,AES TIETE E
TIET11,02/03/2020,17.35,19.00,17.00,18.80,AES TIETE E
TIET11,03/03/2020,18.80,19.23,18.30,18.71,AES TIETE E
TIET11,04/03/2020,18.88,19.50,18.82,19.50,AES TIETE E
TIET11,05/03/2020,19.38,19.52,18.57,18.57,AES TIETE E
TIET11,06/03/2020,17.49,18.08,17.20,17.65,AES TIETE E
TIET11,09/03/2020,16.13,16.68,15.93,16.67,AES TIETE E
TIET11,10/03/2020,17.50,17.89,16.87,17.40,AES TIETE E
TIET11,11/03/2020,17.24,17.28,16.47,16.80,AES TIETE E
TIET11,12/03/2020,14.75,15.20,13.80,14.90,AES TIETE E
TIET11,13/03/2020,16.21,16.70,15.49,16.70,AES TIETE E
TIET11,16/03/2020,15.47,16.00,14.46,14.98,AES TIETE E
TIET11,17/03/2020,15.15,15.49,14.15,14.20,AES TIETE E
TIET11,18/03/2020,13.81,13.81,11.96,12.33,AES TIETE E
TIET11,19/03/2020,12.31,12.59,11.55,12.20,AES TIETE E
TIET11,20/03/2020,12.98,13.69,11.70,12.15,AES TIETE E
TIET11,23/03/2020,12.03,12.10,11.31,11.48,AES TIETE E
TIET11,24/03/2020,12.44,12.95,11.94,11.96,AES TIETE E
TIET11,25/03/2020,12.02,13.21,12.02,12.57,AES TIETE E
TIET11,26/03/2020,12.61,13.97,12.61,13.58,AES TIETE E
TIET11,27/03/2020,13.28,13.97,12.98,13.25,AES TIETE E
TIET11,30/03/2020,13.30,13.84,13.22,13.47,AES TIETE E
TIET11,31/03/2020,13.47,13.72,12.61,13.12,AES TIETE E
TIET11,01/04/2020,12.72,13.21,12.53,13.21,AES TIETE E
TIET11,02/04/2020,13.42,13.54,12.82,13.54,AES TIETE E
TIET11,03/04/2020,13.54,13.54,12.90,13.15,AES TIETE E
TIET11,06/04/2020,13.50,13.77,13.24,13.24,AES TIETE E
TIET11,07/04/2020,13.80,14.22,13.26,13.43,AES TIETE E
TIET11,08/04/2020,13.56,14.57,13.27,14.13,AES TIETE E
TIET11,09/04/2020,14.15,14.75,14.01,14.40,AES TIETE E
TIET11,13/04/2020,14.50,14.50,13.94,14.16,AES TIETE E
TIET11,14/04/2020,14.53,15.75,14.43,15.45,AES TIETE E
TIET11,15/04/2020,15.18,16.10,14.91,16.10,AES TIETE E
TIET11,16/04/2020,16.23,16.42,15.11,15.11,AES TIETE E
TIET11,17/04/2020,15.25,15.44,14.80,15.06,AES TIETE E
TIET11,20/04/2020,14.85,15.27,14.59,15.01,AES TIETE E
TIET11,22/04/2020,14.77,14.81,14.03,14.17,AES TIETE E
TIET11,23/04/2020,14.35,14.61,14.00,14.30,AES TIETE E
TIET11,24/04/2020,14.05,14.19,13.30,13.65,AES TIETE E
TIET11,27/04/2020,13.91,14.79,13.89,14.71,AES TIETE E
TIET11,28/04/2020,14.98,15.49,14.91,15.05,AES TIETE E
TIET11,29/04/2020,15.33,15.38,14.85,15.00,AES TIETE E
TIET11,30/04/2020,15.00,15.14,14.35,14.50,AES TIETE E
TIET11,04/05/2020,14.20,14.56,13.93,14.45,AES TIETE E
TIET11,05/05/2020,14.54,14.90,14.47,14.70,AES TIETE E
TIET11,06/05/2020,14.84,14.86,14.30,14.45,AES TIETE E
TIET11,07/05/2020,15.01,15.17,14.37,14.42,AES TIETE E
TIET11,08/05/2020,14.74,14.77,14.40,14.77,AES TIETE E
TIET11,11/05/2020,14.80,14.94,14.48,14.62,AES TIETE E
TIET11,12/05/2020,14.55,14.68,13.86,13.86,AES TIETE E
TIET11,13/05/2020,13.90,14.03,13.37,13.60,AES TIETE E
TIET11,14/05/2020,13.50,13.96,13.18,13.96,AES TIETE E
TIET11,15/05/2020,13.87,14.04,13.60,13.90,AES TIETE E
TIET11,18/05/2020,14.12,14.22,13.57,13.57,AES TIETE E
TIET11,19/05/2020,13.56,13.70,13.34,13.34,AES TIETE E
TIET11,20/05/2020,13.41,13.65,13.41,13.41,AES TIETE E
TIET11,21/05/2020,13.44,13.74,13.41,13.60,AES TIETE E
TIET11,22/05/2020,13.51,13.67,13.41,13.46,AES TIETE E
TIET11,25/05/2020,13.75,13.89,13.50,13.50,AES TIETE E
TIET11,26/05/2020,13.64,13.83,13.05,13.31,AES TIETE E
TIET11,27/05/2020,13.50,13.72,13.42,13.60,AES TIETE E
TIET11,28/05/2020,13.62,13.74,13.49,13.66,AES TIETE E
TIET11,29/05/2020,13.73,13.73,13.43,13.57,AES TIETE E
TIET11,01/06/2020,13.60,13.91,13.54,13.74,AES TIETE E
TIET11,02/06/2020,13.83,14.10,13.71,13.84,AES TIETE E
TIET11,03/06/2020,14.00,14.49,13.86,14.30,AES TIETE E
TIET11,04/06/2020,14.30,14.51,14.17,14.26,AES TIETE E
TIET11,05/06/2020,14.51,14.64,13.78,13.88,AES TIETE E
