Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TOTS3,02/01/2020,65.25,69.99,64.90,69.15,TOTVS
TOTS3,03/01/2020,68.00,70.62,68.00,70.62,TOTVS
TOTS3,06/01/2020,69.98,70.00,68.99,69.01,TOTVS
TOTS3,07/01/2020,69.50,69.82,68.05,69.30,TOTVS
TOTS3,08/01/2020,69.60,69.60,67.20,68.37,TOTVS
TOTS3,09/01/2020,68.22,69.51,67.62,69.50,TOTVS
TOTS3,10/01/2020,69.60,69.98,67.35,68.98,TOTVS
TOTS3,13/01/2020,69.25,69.68,67.51,69.65,TOTVS
TOTS3,14/01/2020,69.65,70.33,68.92,69.65,TOTVS
TOTS3,15/01/2020,69.50,69.93,68.42,69.82,TOTVS
TOTS3,16/01/2020,70.00,70.20,68.47,69.83,TOTVS
TOTS3,17/01/2020,70.08,72.51,69.41,72.36,TOTVS
TOTS3,20/01/2020,72.20,72.88,71.62,72.88,TOTVS
TOTS3,21/01/2020,72.69,72.78,71.36,72.20,TOTVS
TOTS3,22/01/2020,72.41,74.08,72.09,74.08,TOTVS
TOTS3,23/01/2020,73.34,74.87,72.81,74.87,TOTVS
TOTS3,24/01/2020,74.65,74.68,73.24,73.46,TOTVS
TOTS3,27/01/2020,71.99,72.39,70.51,72.26,TOTVS
TOTS3,28/01/2020,72.69,74.88,71.95,74.55,TOTVS
TOTS3,29/01/2020,74.80,74.80,72.80,73.50,TOTVS
TOTS3,30/01/2020,72.00,73.90,71.14,72.70,TOTVS
TOTS3,31/01/2020,71.03,74.65,71.03,74.65,TOTVS
TOTS3,03/02/2020,74.65,79.03,74.15,78.42,TOTVS
TOTS3,04/02/2020,79.79,79.81,77.53,78.00,TOTVS
TOTS3,05/02/2020,78.78,80.63,78.25,78.25,TOTVS
TOTS3,06/02/2020,78.58,79.11,75.68,76.67,TOTVS
TOTS3,07/02/2020,76.71,77.54,74.90,75.46,TOTVS
TOTS3,10/02/2020,75.76,76.41,73.61,74.53,TOTVS
TOTS3,11/02/2020,75.00,75.95,74.02,75.21,TOTVS
TOTS3,12/02/2020,76.03,78.97,76.03,78.40,TOTVS
TOTS3,13/02/2020,78.38,79.23,75.42,78.10,TOTVS
TOTS3,14/02/2020,78.20,78.20,76.70,77.70,TOTVS
