Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TRIS3,02/01/2020,15.40,15.72,15.13,15.65,TRISUL
TRIS3,03/01/2020,15.31,16.30,14.99,16.30,TRISUL
TRIS3,06/01/2020,16.30,16.47,15.91,16.23,TRISUL
TRIS3,07/01/2020,16.25,16.64,16.10,16.57,TRISUL
TRIS3,08/01/2020,16.55,16.74,16.26,16.50,TRISUL
TRIS3,09/01/2020,16.63,16.85,16.39,16.41,TRISUL
TRIS3,10/01/2020,16.58,16.79,16.33,16.56,TRISUL
TRIS3,13/01/2020,16.75,16.96,16.56,16.80,TRISUL
TRIS3,14/01/2020,16.86,16.98,16.39,16.65,TRISUL
TRIS3,15/01/2020,16.67,16.88,16.50,16.84,TRISUL
TRIS3,16/01/2020,17.06,17.42,16.63,16.82,TRISUL
TRIS3,17/01/2020,16.96,17.06,16.02,16.50,TRISUL
TRIS3,20/01/2020,16.64,16.90,16.46,16.74,TRISUL
TRIS3,21/01/2020,16.78,17.03,16.42,16.55,TRISUL
TRIS3,22/01/2020,16.74,16.80,16.24,16.61,TRISUL
TRIS3,23/01/2020,16.55,16.60,16.26,16.60,TRISUL
TRIS3,24/01/2020,16.62,16.74,16.43,16.43,TRISUL
TRIS3,27/01/2020,16.00,16.40,15.50,15.83,TRISUL
TRIS3,28/01/2020,15.83,16.97,15.83,16.68,TRISUL
TRIS3,29/01/2020,16.99,17.42,16.78,16.78,TRISUL
TRIS3,30/01/2020,16.40,16.49,15.62,16.26,TRISUL
TRIS3,31/01/2020,16.17,16.72,15.84,16.30,TRISUL
TRIS3,03/02/2020,16.30,16.76,16.06,16.53,TRISUL
TRIS3,04/02/2020,16.80,17.38,16.80,17.09,TRISUL
TRIS3,05/02/2020,17.39,17.42,16.88,17.10,TRISUL
TRIS3,06/02/2020,17.40,17.40,16.62,16.75,TRISUL
TRIS3,07/02/2020,16.60,16.66,16.03,16.10,TRISUL
TRIS3,10/02/2020,16.10,16.15,14.86,14.99,TRISUL
TRIS3,11/02/2020,15.10,15.65,14.63,15.64,TRISUL
TRIS3,12/02/2020,15.80,16.13,15.40,15.75,TRISUL
TRIS3,13/02/2020,15.30,15.75,15.07,15.75,TRISUL
TRIS3,14/02/2020,15.75,16.19,15.61,15.99,TRISUL
TRIS3,17/02/2020,16.21,16.66,16.19,16.40,TRISUL
TRIS3,18/02/2020,16.31,16.87,16.24,16.73,TRISUL
TRIS3,19/02/2020,16.73,17.10,16.66,16.93,TRISUL
TRIS3,20/02/2020,16.93,17.06,16.51,16.65,TRISUL
TRIS3,21/02/2020,16.51,17.05,16.34,16.49,TRISUL
TRIS3,26/02/2020,15.67,15.75,15.37,15.55,TRISUL
TRIS3,27/02/2020,15.06,15.68,14.45,14.94,TRISUL
TRIS3,28/02/2020,14.59,15.13,13.96,14.44,TRISUL
TRIS3,02/03/2020,14.25,15.89,14.25,15.56,TRISUL
TRIS3,03/03/2020,15.85,16.54,15.52,15.75,TRISUL
TRIS3,04/03/2020,16.30,16.58,16.00,16.15,TRISUL
TRIS3,05/03/2020,16.00,16.02,14.52,14.70,TRISUL
TRIS3,06/03/2020,13.67,14.00,13.20,13.90,TRISUL
TRIS3,09/03/2020,12.30,12.39,11.25,11.36,TRISUL
