Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
TRPL3,02/01/2020,27.50,27.60,27.14,27.50,TRAN PAULIST
TRPL3,03/01/2020,27.51,28.05,27.50,28.05,TRAN PAULIST
TRPL3,06/01/2020,28.08,29.90,28.04,29.90,TRAN PAULIST
TRPL3,07/01/2020,28.33,29.80,28.16,29.80,TRAN PAULIST
TRPL3,08/01/2020,28.17,29.86,28.17,29.80,TRAN PAULIST
TRPL3,09/01/2020,29.39,29.82,28.86,28.90,TRAN PAULIST
TRPL3,10/01/2020,28.90,28.90,28.36,28.40,TRAN PAULIST
TRPL3,13/01/2020,28.36,28.85,27.55,27.55,TRAN PAULIST
TRPL3,14/01/2020,27.93,28.85,27.93,28.77,TRAN PAULIST
TRPL3,15/01/2020,28.77,28.85,27.59,27.66,TRAN PAULIST
TRPL3,16/01/2020,27.66,27.86,27.60,27.60,TRAN PAULIST
TRPL3,17/01/2020,27.62,28.70,27.62,28.70,TRAN PAULIST
TRPL3,20/01/2020,28.58,28.97,27.84,28.05,TRAN PAULIST
TRPL3,21/01/2020,28.45,28.90,28.00,28.50,TRAN PAULIST
TRPL3,22/01/2020,28.89,28.89,27.90,28.45,TRAN PAULIST
TRPL3,23/01/2020,28.30,28.45,27.82,27.82,TRAN PAULIST
TRPL3,24/01/2020,28.30,28.86,27.60,28.00,TRAN PAULIST
TRPL3,27/01/2020,28.82,28.82,27.41,28.44,TRAN PAULIST
TRPL3,28/01/2020,28.87,28.87,28.30,28.43,TRAN PAULIST
TRPL3,29/01/2020,27.99,28.70,27.34,27.35,TRAN PAULIST
TRPL3,30/01/2020,27.81,27.81,26.68,27.35,TRAN PAULIST
TRPL3,31/01/2020,27.50,28.54,26.75,27.50,TRAN PAULIST
TRPL3,03/02/2020,27.85,28.10,27.51,27.80,TRAN PAULIST
TRPL3,04/02/2020,28.20,28.85,27.81,28.29,TRAN PAULIST
TRPL3,05/02/2020,28.15,28.15,27.85,27.95,TRAN PAULIST
TRPL3,06/02/2020,28.20,28.20,27.11,27.40,TRAN PAULIST
TRPL3,07/02/2020,27.80,27.80,26.89,26.89,TRAN PAULIST
TRPL3,10/02/2020,26.50,26.67,25.33,26.50,TRAN PAULIST
TRPL3,11/02/2020,27.01,27.02,26.90,26.90,TRAN PAULIST
TRPL3,12/02/2020,27.00,27.98,26.95,27.10,TRAN PAULIST
TRPL3,13/02/2020,27.00,27.00,26.95,26.95,TRAN PAULIST
TRPL3,14/02/2020,27.28,28.30,26.97,27.65,TRAN PAULIST
TRPL3,17/02/2020,27.66,28.11,27.65,27.95,TRAN PAULIST
TRPL3,18/02/2020,28.00,28.00,27.82,28.00,TRAN PAULIST
TRPL3,19/02/2020,28.00,28.00,26.87,27.90,TRAN PAULIST
TRPL3,20/02/2020,27.99,27.99,27.85,27.85,TRAN PAULIST
TRPL3,21/02/2020,27.80,27.85,27.80,27.84,TRAN PAULIST
TRPL3,26/02/2020,25.07,26.50,25.07,26.30,TRAN PAULIST
TRPL3,27/02/2020,25.90,27.07,25.00,26.90,TRAN PAULIST
TRPL3,28/02/2020,26.89,26.89,25.70,25.80,TRAN PAULIST
TRPL3,02/03/2020,25.80,27.15,25.80,27.15,TRAN PAULIST
TRPL3,03/03/2020,27.30,27.52,27.29,27.50,TRAN PAULIST
TRPL3,04/03/2020,27.80,28.00,27.80,27.90,TRAN PAULIST
TRPL3,05/03/2020,28.00,28.00,27.00,27.00,TRAN PAULIST
TRPL3,06/03/2020,27.00,27.00,26.00,27.00,TRAN PAULIST
TRPL3,09/03/2020,26.00,26.00,25.00,25.80,TRAN PAULIST
TRPL3,10/03/2020,26.82,28.00,26.30,26.40,TRAN PAULIST
TRPL3,11/03/2020,26.51,26.51,25.40,25.70,TRAN PAULIST
TRPL3,12/03/2020,25.00,25.50,23.00,23.99,TRAN PAULIST
TRPL3,13/03/2020,24.33,26.45,24.00,24.40,TRAN PAULIST
TRPL3,16/03/2020,23.84,25.00,22.23,23.00,TRAN PAULIST
TRPL3,17/03/2020,23.84,23.96,22.23,22.23,TRAN PAULIST
TRPL3,18/03/2020,21.01,22.99,21.01,22.85,TRAN PAULIST
TRPL3,19/03/2020,21.12,22.99,21.12,21.79,TRAN PAULIST
TRPL3,20/03/2020,22.89,22.89,21.55,22.62,TRAN PAULIST
TRPL3,23/03/2020,22.25,22.25,21.72,21.81,TRAN PAULIST
TRPL3,24/03/2020,22.05,22.86,21.20,21.20,TRAN PAULIST
TRPL3,25/03/2020,21.50,22.85,21.20,22.50,TRAN PAULIST
TRPL3,26/03/2020,23.00,23.85,23.00,23.00,TRAN PAULIST
TRPL3,27/03/2020,22.97,24.00,21.52,23.90,TRAN PAULIST
TRPL3,30/03/2020,23.40,23.90,21.61,21.61,TRAN PAULIST
TRPL3,31/03/2020,22.10,23.31,22.10,22.74,TRAN PAULIST
TRPL3,01/04/2020,21.76,22.66,21.61,22.40,TRAN PAULIST
TRPL3,02/04/2020,23.00,23.80,22.50,23.09,TRAN PAULIST
TRPL3,03/04/2020,22.50,22.50,22.20,22.45,TRAN PAULIST
TRPL3,06/04/2020,23.00,23.00,22.49,22.49,TRAN PAULIST
TRPL3,07/04/2020,22.50,23.00,22.50,22.65,TRAN PAULIST
TRPL3,08/04/2020,22.39,22.85,22.11,22.14,TRAN PAULIST
TRPL3,09/04/2020,22.61,23.00,22.61,23.00,TRAN PAULIST
TRPL3,13/04/2020,22.50,22.95,22.11,22.67,TRAN PAULIST
TRPL3,14/04/2020,23.00,24.99,22.68,23.53,TRAN PAULIST
TRPL3,15/04/2020,23.78,24.38,23.40,24.00,TRAN PAULIST
TRPL3,16/04/2020,24.00,24.42,23.70,23.70,TRAN PAULIST
TRPL3,17/04/2020,23.53,23.53,23.10,23.24,TRAN PAULIST
TRPL3,20/04/2020,23.47,23.98,22.79,22.99,TRAN PAULIST
TRPL3,22/04/2020,22.60,23.25,22.60,23.00,TRAN PAULIST
TRPL3,23/04/2020,23.03,23.10,22.26,22.26,TRAN PAULIST
TRPL3,24/04/2020,22.26,23.66,22.15,22.26,TRAN PAULIST
TRPL3,27/04/2020,23.42,23.42,22.30,22.30,TRAN PAULIST
TRPL3,28/04/2020,22.96,23.33,22.96,23.10,TRAN PAULIST
TRPL3,29/04/2020,23.10,23.48,23.00,23.00,TRAN PAULIST
TRPL3,30/04/2020,23.00,23.40,23.00,23.01,TRAN PAULIST
TRPL3,04/05/2020,23.00,23.10,22.09,22.15,TRAN PAULIST
TRPL3,05/05/2020,22.60,23.97,22.19,22.80,TRAN PAULIST
TRPL3,06/05/2020,22.99,23.00,22.90,22.90,TRAN PAULIST
TRPL3,07/05/2020,22.66,22.99,22.66,22.90,TRAN PAULIST
TRPL3,08/05/2020,22.90,22.90,22.85,22.90,TRAN PAULIST
TRPL3,11/05/2020,22.84,22.90,22.84,22.90,TRAN PAULIST
TRPL3,12/05/2020,22.90,22.98,22.50,22.50,TRAN PAULIST
TRPL3,13/05/2020,22.72,22.84,22.57,22.74,TRAN PAULIST
TRPL3,14/05/2020,22.51,22.88,22.51,22.80,TRAN PAULIST
TRPL3,15/05/2020,22.76,22.90,22.76,22.90,TRAN PAULIST
TRPL3,18/05/2020,23.00,23.00,22.52,23.00,TRAN PAULIST
TRPL3,19/05/2020,23.00,23.05,22.68,22.79,TRAN PAULIST
TRPL3,20/05/2020,22.84,22.99,22.64,22.64,TRAN PAULIST
TRPL3,21/05/2020,22.56,22.83,22.51,22.83,TRAN PAULIST
TRPL3,22/05/2020,23.01,23.01,22.80,22.80,TRAN PAULIST
TRPL3,25/05/2020,22.95,23.01,22.93,23.00,TRAN PAULIST
TRPL3,26/05/2020,23.00,23.50,22.93,23.19,TRAN PAULIST
TRPL3,27/05/2020,23.22,24.50,23.22,24.50,TRAN PAULIST
TRPL3,28/05/2020,23.97,25.00,23.51,25.00,TRAN PAULIST
TRPL3,29/05/2020,25.00,25.45,25.00,25.24,TRAN PAULIST
TRPL3,01/06/2020,24.81,25.50,24.81,25.10,TRAN PAULIST
TRPL3,02/06/2020,25.12,25.40,24.82,25.40,TRAN PAULIST
TRPL3,03/06/2020,25.50,25.98,24.68,24.97,TRAN PAULIST
TRPL3,04/06/2020,24.97,25.00,24.90,25.00,TRAN PAULIST
TRPL3,05/06/2020,25.29,25.29,24.99,25.24,TRAN PAULIST
TRPL3,08/06/2020,25.24,25.59,24.94,24.90,TRAN PAULIST
TRPL3,09/06/2020,25.16,25.16,25.00,25.10,TRAN PAULIST
TRPL3,10/06/2020,25.18,25.58,24.94,25.40,TRAN PAULIST
TRPL3,12/06/2020,24.59,25.16,24.59,24.80,TRAN PAULIST
TRPL3,15/06/2020,24.80,24.94,24.66,24.66,TRAN PAULIST
TRPL3,16/06/2020,25.15,25.15,24.95,25.00,TRAN PAULIST
TRPL3,17/06/2020,24.61,25.27,24.61,25.05,TRAN PAULIST
