Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
UNIP6,02/01/2020,35.28,36.32,34.59,35.15,UNIPAR
UNIP6,03/01/2020,35.00,35.00,33.66,33.66,UNIPAR
UNIP6,06/01/2020,33.72,34.60,33.66,34.50,UNIPAR
UNIP6,07/01/2020,34.58,35.20,34.26,34.26,UNIPAR
UNIP6,08/01/2020,34.20,35.50,33.77,35.50,UNIPAR
UNIP6,09/01/2020,35.50,35.80,35.19,35.19,UNIPAR
UNIP6,10/01/2020,35.23,35.97,35.20,35.20,UNIPAR
UNIP6,13/01/2020,35.36,36.30,34.83,35.55,UNIPAR
UNIP6,14/01/2020,35.32,36.15,35.18,36.13,UNIPAR
UNIP6,15/01/2020,36.13,39.70,35.90,39.38,UNIPAR
UNIP6,16/01/2020,39.65,42.37,39.65,41.95,UNIPAR
UNIP6,17/01/2020,41.96,43.84,41.76,42.61,UNIPAR
UNIP6,20/01/2020,42.43,42.49,40.40,41.30,UNIPAR
UNIP6,21/01/2020,41.18,41.27,39.50,39.50,UNIPAR
UNIP6,22/01/2020,39.55,43.38,39.54,41.41,UNIPAR
UNIP6,23/01/2020,41.41,42.90,40.35,41.05,UNIPAR
UNIP6,24/01/2020,41.49,41.50,39.83,39.85,UNIPAR
UNIP6,27/01/2020,39.61,39.64,37.73,37.73,UNIPAR
UNIP6,28/01/2020,37.76,38.40,37.03,37.61,UNIPAR
UNIP6,29/01/2020,38.30,39.52,36.25,36.51,UNIPAR
UNIP6,30/01/2020,36.15,36.15,34.13,34.50,UNIPAR
UNIP6,31/01/2020,34.51,35.37,32.59,32.70,UNIPAR
UNIP6,03/02/2020,32.84,34.25,32.47,34.25,UNIPAR
UNIP6,04/02/2020,34.98,35.27,33.00,33.00,UNIPAR
UNIP6,05/02/2020,33.36,33.98,32.10,33.97,UNIPAR
UNIP6,06/02/2020,34.47,35.25,33.75,34.23,UNIPAR
UNIP6,07/02/2020,33.51,34.37,33.05,33.40,UNIPAR
UNIP6,10/02/2020,33.44,33.49,30.10,31.00,UNIPAR
