Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
USIM3,02/01/2020,9.90,10.00,9.82,10.00,USIMINAS
USIM3,03/01/2020,9.99,10.00,9.73,9.95,USIMINAS
USIM3,06/01/2020,9.95,10.00,9.80,9.83,USIMINAS
USIM3,07/01/2020,9.83,9.94,9.80,9.94,USIMINAS
USIM3,08/01/2020,9.78,9.97,9.72,9.72,USIMINAS
USIM3,09/01/2020,9.72,9.85,9.67,9.77,USIMINAS
USIM3,10/01/2020,9.82,9.88,9.69,9.73,USIMINAS
USIM3,13/01/2020,9.80,9.99,9.73,9.96,USIMINAS
USIM3,14/01/2020,9.96,10.00,9.90,9.99,USIMINAS
USIM3,15/01/2020,9.95,10.00,9.85,9.90,USIMINAS
USIM3,16/01/2020,9.98,10.18,9.93,10.14,USIMINAS
USIM3,17/01/2020,10.24,10.24,10.02,10.18,USIMINAS
USIM3,20/01/2020,10.10,10.16,9.88,10.00,USIMINAS
USIM3,21/01/2020,10.14,10.14,9.86,9.86,USIMINAS
USIM3,22/01/2020,9.86,11.09,9.86,10.97,USIMINAS
USIM3,23/01/2020,10.97,11.69,10.77,11.44,USIMINAS
USIM3,24/01/2020,11.50,11.68,10.98,11.23,USIMINAS
USIM3,27/01/2020,10.99,11.00,10.30,10.80,USIMINAS
USIM3,28/01/2020,10.80,10.91,10.51,10.65,USIMINAS
USIM3,29/01/2020,10.69,10.89,10.46,10.47,USIMINAS
USIM3,30/01/2020,10.40,10.55,9.95,10.55,USIMINAS
USIM3,31/01/2020,10.52,10.52,10.04,10.26,USIMINAS
USIM3,03/02/2020,10.26,10.50,10.00,10.20,USIMINAS
USIM3,04/02/2020,10.26,10.50,10.11,10.28,USIMINAS
USIM3,05/02/2020,10.49,10.86,10.45,10.78,USIMINAS
USIM3,06/02/2020,10.99,11.00,10.19,10.49,USIMINAS
USIM3,07/02/2020,10.47,10.47,10.12,10.20,USIMINAS
USIM3,10/02/2020,10.20,10.20,9.87,10.00,USIMINAS
USIM3,11/02/2020,10.20,10.52,10.07,10.45,USIMINAS
USIM3,12/02/2020,10.67,10.70,10.32,10.48,USIMINAS
USIM3,13/02/2020,10.42,11.17,10.20,11.12,USIMINAS
USIM3,14/02/2020,11.14,11.14,10.58,10.74,USIMINAS
USIM3,17/02/2020,10.74,10.91,10.23,10.53,USIMINAS
USIM3,18/02/2020,10.52,10.53,10.25,10.49,USIMINAS
USIM3,19/02/2020,10.60,10.60,10.36,10.48,USIMINAS
USIM3,20/02/2020,10.26,10.57,10.24,10.50,USIMINAS
USIM3,21/02/2020,10.24,10.35,10.04,10.20,USIMINAS
USIM3,26/02/2020,9.85,9.85,9.12,9.20,USIMINAS
USIM3,27/02/2020,9.00,9.40,8.85,9.21,USIMINAS
USIM3,28/02/2020,9.00,9.06,8.68,8.87,USIMINAS
USIM3,02/03/2020,9.02,9.40,8.95,9.40,USIMINAS
USIM3,03/03/2020,9.45,9.58,9.23,9.29,USIMINAS
USIM3,04/03/2020,9.45,9.89,9.29,9.89,USIMINAS
USIM3,05/03/2020,9.90,9.90,9.20,9.51,USIMINAS
USIM3,06/03/2020,9.29,9.29,8.66,8.70,USIMINAS
USIM3,09/03/2020,8.20,8.20,7.45,7.84,USIMINAS
USIM3,10/03/2020,7.95,8.46,7.78,7.80,USIMINAS
USIM3,11/03/2020,7.71,7.78,7.07,7.58,USIMINAS
USIM3,12/03/2020,7.38,7.38,5.72,6.70,USIMINAS
USIM3,13/03/2020,7.80,7.80,6.64,7.51,USIMINAS
USIM3,16/03/2020,7.12,7.28,6.73,7.01,USIMINAS
USIM3,17/03/2020,7.01,7.15,6.61,6.76,USIMINAS
USIM3,18/03/2020,6.69,6.69,5.24,5.47,USIMINAS
USIM3,19/03/2020,5.50,5.52,4.85,5.20,USIMINAS
USIM3,20/03/2020,5.52,5.75,5.00,5.00,USIMINAS
USIM3,23/03/2020,5.35,5.37,4.42,4.48,USIMINAS
USIM3,24/03/2020,5.10,5.10,4.65,4.65,USIMINAS
USIM3,25/03/2020,4.99,5.73,4.98,5.63,USIMINAS
USIM3,26/03/2020,5.63,6.34,5.59,5.71,USIMINAS
USIM3,27/03/2020,5.60,5.92,5.40,5.61,USIMINAS
USIM3,30/03/2020,5.60,5.84,5.42,5.59,USIMINAS
USIM3,31/03/2020,5.81,5.83,5.58,5.65,USIMINAS
USIM3,01/04/2020,5.49,5.52,5.31,5.50,USIMINAS
USIM3,02/04/2020,5.81,5.81,5.43,5.60,USIMINAS
USIM3,03/04/2020,5.36,5.40,4.88,4.96,USIMINAS
USIM3,06/04/2020,5.19,5.30,4.91,5.05,USIMINAS
USIM3,07/04/2020,5.30,5.35,5.10,5.15,USIMINAS
USIM3,08/04/2020,5.17,5.30,5.14,5.23,USIMINAS
