Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VALE3,02/01/2020,53.98,54.44,53.75,54.33,VALE
VALE3,03/01/2020,53.68,54.50,53.58,53.93,VALE
VALE3,06/01/2020,53.80,53.80,53.15,53.61,VALE
VALE3,07/01/2020,53.50,54.19,53.40,54.00,VALE
VALE3,08/01/2020,54.20,54.37,53.62,54.01,VALE
VALE3,09/01/2020,53.75,53.87,53.05,53.30,VALE
VALE3,10/01/2020,53.75,53.87,53.11,53.36,VALE
VALE3,13/01/2020,53.64,55.64,53.51,55.30,VALE
VALE3,14/01/2020,55.30,56.35,55.00,55.64,VALE
VALE3,15/01/2020,55.30,56.08,55.11,55.46,VALE
VALE3,16/01/2020,55.60,55.95,55.10,55.17,VALE
VALE3,17/01/2020,56.25,57.09,56.10,57.00,VALE
VALE3,20/01/2020,57.00,57.36,56.53,57.36,VALE
VALE3,21/01/2020,56.80,57.01,55.74,56.03,VALE
VALE3,22/01/2020,56.60,56.85,56.06,56.30,VALE
VALE3,23/01/2020,55.43,55.73,54.71,55.50,VALE
VALE3,24/01/2020,55.62,55.73,53.69,53.80,VALE
VALE3,27/01/2020,51.66,51.82,50.48,50.51,VALE
VALE3,28/01/2020,51.20,52.09,51.08,51.20,VALE
VALE3,29/01/2020,51.70,51.89,50.46,50.75,VALE
VALE3,30/01/2020,49.97,51.50,49.80,51.50,VALE
VALE3,31/01/2020,50.96,51.06,49.80,50.27,VALE
VALE3,03/02/2020,50.50,51.09,49.80,50.91,VALE
VALE3,04/02/2020,52.20,52.58,51.97,52.27,VALE
VALE3,05/02/2020,53.32,53.62,52.99,52.99,VALE
VALE3,06/02/2020,53.66,53.92,52.82,53.28,VALE
VALE3,07/02/2020,52.88,52.96,51.92,52.10,VALE
VALE3,10/02/2020,51.90,51.90,49.92,50.19,VALE
VALE3,11/02/2020,51.15,52.20,51.02,52.05,VALE
VALE3,12/02/2020,53.10,53.38,52.83,53.07,VALE
VALE3,13/02/2020,52.22,52.40,51.56,52.14,VALE
VALE3,14/02/2020,52.21,52.28,50.95,51.00,VALE
VALE3,17/02/2020,51.71,53.41,51.62,53.41,VALE
VALE3,18/02/2020,52.55,53.05,52.12,52.80,VALE
VALE3,19/02/2020,52.93,53.12,52.40,52.81,VALE
VALE3,20/02/2020,53.27,53.49,52.06,52.20,VALE
VALE3,21/02/2020,51.00,51.14,49.80,50.13,VALE
VALE3,26/02/2020,46.66,46.84,45.06,45.35,VALE
VALE3,27/02/2020,44.65,45.54,43.56,44.47,VALE
VALE3,28/02/2020,43.99,44.31,43.20,44.31,VALE
VALE3,02/03/2020,44.88,47.09,44.81,46.36,VALE
VALE3,03/03/2020,46.74,49.09,46.07,46.35,VALE
VALE3,04/03/2020,48.00,49.09,47.00,48.57,VALE
VALE3,05/03/2020,47.66,47.95,45.95,46.85,VALE
VALE3,06/03/2020,44.20,45.82,43.65,44.61,VALE
VALE3,09/03/2020,40.45,41.54,37.81,37.83,VALE
VALE3,10/03/2020,41.90,45.34,40.80,44.81,VALE
VALE3,11/03/2020,43.01,44.29,39.00,40.74,VALE
VALE3,12/03/2020,36.00,36.00,32.45,35.35,VALE
VALE3,13/03/2020,42.00,44.03,37.00,42.90,VALE
VALE3,16/03/2020,36.01,41.40,36.01,39.04,VALE
VALE3,17/03/2020,40.50,43.57,39.11,41.51,VALE
VALE3,18/03/2020,38.80,40.87,35.70,38.65,VALE
VALE3,19/03/2020,37.50,39.00,35.26,36.40,VALE
VALE3,20/03/2020,37.90,39.41,34.71,35.19,VALE
VALE3,23/03/2020,35.55,35.86,33.37,34.10,VALE
VALE3,24/03/2020,36.86,38.65,36.86,37.64,VALE
VALE3,25/03/2020,38.19,41.35,38.09,40.85,VALE
VALE3,26/03/2020,41.01,42.41,39.99,42.00,VALE
VALE3,27/03/2020,39.30,41.44,39.20,40.10,VALE
VALE3,30/03/2020,40.92,42.32,40.74,41.77,VALE
VALE3,31/03/2020,42.30,44.49,42.22,43.22,VALE
VALE3,01/04/2020,41.81,44.12,41.20,43.37,VALE
VALE3,02/04/2020,43.95,44.57,41.92,42.78,VALE
VALE3,03/04/2020,42.80,42.87,39.76,40.50,VALE
VALE3,06/04/2020,42.60,43.39,41.97,43.13,VALE
VALE3,07/04/2020,45.19,45.50,43.56,43.78,VALE
VALE3,08/04/2020,43.50,44.25,43.05,43.51,VALE
VALE3,09/04/2020,43.95,44.47,42.84,43.28,VALE
VALE3,13/04/2020,43.20,44.57,42.98,44.57,VALE
VALE3,14/04/2020,45.62,46.00,44.50,44.53,VALE
VALE3,15/04/2020,43.50,43.90,42.61,43.19,VALE
VALE3,16/04/2020,43.80,43.99,42.04,42.76,VALE
VALE3,17/04/2020,43.90,44.23,43.22,44.00,VALE
VALE3,20/04/2020,43.26,43.26,42.23,42.46,VALE
VALE3,22/04/2020,42.60,43.24,42.05,42.90,VALE
VALE3,23/04/2020,43.29,44.69,42.81,43.51,VALE
VALE3,24/04/2020,43.37,44.20,41.83,43.76,VALE
VALE3,27/04/2020,44.46,45.05,43.86,44.55,VALE
VALE3,28/04/2020,45.20,45.29,43.48,44.61,VALE
VALE3,29/04/2020,45.35,47.38,44.84,46.73,VALE
VALE3,30/04/2020,45.71,46.17,44.76,44.86,VALE
VALE3,04/05/2020,43.70,44.33,43.40,43.93,VALE
VALE3,05/05/2020,44.45,45.03,43.70,43.70,VALE
VALE3,06/05/2020,44.19,44.76,43.61,44.33,VALE
VALE3,07/05/2020,45.63,46.98,45.45,46.05,VALE
VALE3,08/05/2020,47.50,48.96,46.97,48.85,VALE
