Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VIGT11,02/01/2020,113.99,115.50,113.50,115.50,FIP VINCI IE
VIGT11,03/01/2020,114.85,119.97,112.15,115.23,FIP VINCI IE
VIGT11,06/01/2020,115.69,119.92,115.68,116.93,FIP VINCI IE
VIGT11,07/01/2020,116.91,116.92,110.20,110.20,FIP VINCI IE
VIGT11,08/01/2020,109.70,114.00,109.00,112.43,FIP VINCI IE
VIGT11,09/01/2020,113.50,114.61,112.59,113.94,FIP VINCI IE
VIGT11,10/01/2020,114.08,114.50,111.00,111.00,FIP VINCI IE
VIGT11,13/01/2020,113.00,114.95,109.00,109.05,FIP VINCI IE
VIGT11,14/01/2020,110.21,112.62,108.70,109.00,FIP VINCI IE
VIGT11,15/01/2020,109.49,111.00,107.44,108.50,FIP VINCI IE
VIGT11,16/01/2020,107.10,111.20,107.10,111.20,FIP VINCI IE
VIGT11,17/01/2020,110.20,111.20,108.05,111.20,FIP VINCI IE
VIGT11,20/01/2020,111.00,111.20,108.95,110.23,FIP VINCI IE
VIGT11,21/01/2020,110.23,111.15,109.01,110.00,FIP VINCI IE
VIGT11,22/01/2020,110.49,111.20,109.01,111.19,FIP VINCI IE
VIGT11,23/01/2020,111.00,111.00,109.67,109.67,FIP VINCI IE
VIGT11,24/01/2020,109.67,110.97,109.05,110.97,FIP VINCI IE
VIGT11,27/01/2020,111.00,111.00,109.07,109.32,FIP VINCI IE
VIGT11,28/01/2020,110.00,110.50,109.30,110.03,FIP VINCI IE
VIGT11,29/01/2020,110.09,110.77,107.50,109.00,FIP VINCI IE
VIGT11,30/01/2020,108.24,108.96,106.80,107.69,FIP VINCI IE
VIGT11,31/01/2020,106.60,110.00,106.60,107.06,FIP VINCI IE
VIGT11,03/02/2020,106.81,110.99,106.81,107.40,FIP VINCI IE
VIGT11,04/02/2020,107.00,109.99,107.00,109.20,FIP VINCI IE
VIGT11,05/02/2020,109.93,110.00,107.45,109.95,FIP VINCI IE
VIGT11,06/02/2020,108.00,108.85,106.50,106.51,FIP VINCI IE
VIGT11,07/02/2020,107.50,107.50,105.50,107.00,FIP VINCI IE
VIGT11,10/02/2020,106.23,107.39,105.60,105.60,FIP VINCI IE
VIGT11,11/02/2020,106.99,108.00,104.55,104.60,FIP VINCI IE
VIGT11,12/02/2020,105.00,105.70,103.90,104.49,FIP VINCI IE
VIGT11,13/02/2020,104.00,104.97,103.92,104.90,FIP VINCI IE
VIGT11,14/02/2020,105.31,105.95,104.63,105.00,FIP VINCI IE
VIGT11,17/02/2020,104.53,105.95,103.52,103.52,FIP VINCI IE
VIGT11,18/02/2020,103.53,105.10,103.53,105.10,FIP VINCI IE
VIGT11,19/02/2020,106.50,106.50,103.68,104.90,FIP VINCI IE
VIGT11,20/02/2020,105.68,106.50,104.55,106.50,FIP VINCI IE
VIGT11,21/02/2020,104.55,106.00,104.00,105.90,FIP VINCI IE
VIGT11,26/02/2020,103.71,104.50,102.03,102.40,FIP VINCI IE
VIGT11,27/02/2020,102.15,104.88,101.62,101.80,FIP VINCI IE
VIGT11,28/02/2020,101.70,102.74,100.90,102.74,FIP VINCI IE
VIGT11,02/03/2020,102.75,106.00,101.72,105.00,FIP VINCI IE
VIGT11,03/03/2020,102.00,105.98,102.00,105.10,FIP VINCI IE
VIGT11,04/03/2020,106.60,106.60,102.32,106.05,FIP VINCI IE
VIGT11,05/03/2020,104.40,106.00,103.50,104.00,FIP VINCI IE
VIGT11,06/03/2020,102.36,105.92,102.02,102.30,FIP VINCI IE
VIGT11,09/03/2020,102.30,102.30,98.00,99.80,FIP VINCI IE
VIGT11,10/03/2020,102.30,103.90,100.20,102.99,FIP VINCI IE
VIGT11,11/03/2020,102.38,102.38,99.00,99.00,FIP VINCI IE
VIGT11,12/03/2020,96.52,98.19,76.50,97.88,FIP VINCI IE
VIGT11,13/03/2020,98.00,100.00,90.07,99.95,FIP VINCI IE
VIGT11,16/03/2020,90.00,95.00,85.00,87.00,FIP VINCI IE
VIGT11,17/03/2020,89.00,94.99,85.52,88.90,FIP VINCI IE
VIGT11,18/03/2020,85.00,90.99,80.00,90.97,FIP VINCI IE
VIGT11,19/03/2020,78.65,89.00,78.65,89.00,FIP VINCI IE
VIGT11,20/03/2020,93.00,93.00,85.02,89.50,FIP VINCI IE
VIGT11,23/03/2020,85.00,94.96,80.01,85.00,FIP VINCI IE
VIGT11,24/03/2020,90.00,91.00,83.51,91.00,FIP VINCI IE
VIGT11,25/03/2020,91.00,91.00,88.51,90.00,FIP VINCI IE
VIGT11,26/03/2020,89.95,90.20,89.00,90.00,FIP VINCI IE
VIGT11,27/03/2020,89.00,98.90,85.20,89.50,FIP VINCI IE
VIGT11,30/03/2020,92.50,95.00,86.75,88.70,FIP VINCI IE
VIGT11,31/03/2020,89.00,90.50,89.00,89.00,FIP VINCI IE
VIGT11,01/04/2020,85.82,91.00,85.82,89.00,FIP VINCI IE
VIGT11,02/04/2020,89.00,90.00,89.00,89.50,FIP VINCI IE
VIGT11,03/04/2020,90.00,91.50,86.90,87.98,FIP VINCI IE
VIGT11,06/04/2020,87.98,90.00,87.97,90.00,FIP VINCI IE
VIGT11,07/04/2020,90.50,92.50,90.50,90.57,FIP VINCI IE
VIGT11,08/04/2020,93.20,93.68,90.50,93.60,FIP VINCI IE
VIGT11,09/04/2020,91.99,94.49,90.59,93.68,FIP VINCI IE
VIGT11,13/04/2020,92.99,94.44,92.99,93.70,FIP VINCI IE
VIGT11,14/04/2020,94.80,99.00,94.50,97.00,FIP VINCI IE
VIGT11,15/04/2020,97.00,97.50,96.50,97.01,FIP VINCI IE
VIGT11,16/04/2020,96.50,98.50,96.50,98.00,FIP VINCI IE
VIGT11,17/04/2020,97.98,98.90,97.98,98.30,FIP VINCI IE
VIGT11,20/04/2020,99.00,99.00,98.00,98.40,FIP VINCI IE
VIGT11,22/04/2020,98.00,98.03,90.50,97.28,FIP VINCI IE
VIGT11,23/04/2020,95.30,98.50,95.03,96.00,FIP VINCI IE
VIGT11,24/04/2020,95.61,96.00,94.00,96.00,FIP VINCI IE
VIGT11,27/04/2020,97.00,98.11,94.69,94.80,FIP VINCI IE
VIGT11,28/04/2020,95.80,97.00,94.70,97.00,FIP VINCI IE
VIGT11,29/04/2020,96.37,96.37,94.89,94.92,FIP VINCI IE
VIGT11,30/04/2020,95.00,96.95,94.70,95.00,FIP VINCI IE
VIGT11,04/05/2020,97.00,97.00,95.15,96.45,FIP VINCI IE
VIGT11,05/05/2020,96.48,96.48,95.15,95.15,FIP VINCI IE
VIGT11,06/05/2020,96.00,98.00,96.00,98.00,FIP VINCI IE
VIGT11,07/05/2020,98.00,98.12,95.60,98.00,FIP VINCI IE
VIGT11,08/05/2020,97.50,98.00,97.50,98.00,FIP VINCI IE
VIGT11,11/05/2020,97.99,97.99,96.10,96.21,FIP VINCI IE
VIGT11,12/05/2020,97.99,97.99,95.60,96.00,FIP VINCI IE
VIGT11,13/05/2020,96.06,97.96,95.60,95.90,FIP VINCI IE
VIGT11,14/05/2020,95.90,97.80,95.00,96.50,FIP VINCI IE
VIGT11,15/05/2020,95.11,95.29,95.00,95.00,FIP VINCI IE
VIGT11,18/05/2020,96.00,97.74,95.07,96.00,FIP VINCI IE
VIGT11,19/05/2020,97.15,97.95,96.09,96.09,FIP VINCI IE
VIGT11,20/05/2020,96.10,96.99,96.09,96.50,FIP VINCI IE
VIGT11,21/05/2020,96.50,97.40,96.30,96.50,FIP VINCI IE
VIGT11,22/05/2020,97.42,97.42,96.51,97.34,FIP VINCI IE
VIGT11,25/05/2020,97.34,97.49,96.72,97.49,FIP VINCI IE
VIGT11,26/05/2020,97.20,97.50,97.14,97.50,FIP VINCI IE
VIGT11,27/05/2020,97.47,98.44,97.00,98.44,FIP VINCI IE
VIGT11,28/05/2020,98.43,98.43,97.10,97.50,FIP VINCI IE
VIGT11,29/05/2020,97.50,98.43,97.20,97.50,FIP VINCI IE
VIGT11,01/06/2020,98.43,98.44,96.01,97.80,FIP VINCI IE
VIGT11,02/06/2020,97.80,97.80,95.26,97.80,FIP VINCI IE
VIGT11,03/06/2020,97.23,97.80,95.56,97.80,FIP VINCI IE
VIGT11,04/06/2020,97.80,99.99,97.15,97.20,FIP VINCI IE
VIGT11,05/06/2020,98.36,99.90,97.37,98.50,FIP VINCI IE
VIGT11,08/06/2020,98.50,99.00,97.00,98.00,FIP VINCI IE
VIGT11,09/06/2020,98.00,99.49,97.21,99.00,FIP VINCI IE
VIGT11,10/06/2020,99.84,100.00,99.00,100.00,FIP VINCI IE
VIGT11,12/06/2020,99.00,103.99,99.00,100.02,FIP VINCI IE
VIGT11,15/06/2020,100.02,103.98,100.02,103.00,FIP VINCI IE
