Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VIVA3,02/01/2020,29.29,29.57,28.94,29.18,VIVARA S.A.
VIVA3,03/01/2020,29.00,29.25,28.13,29.00,VIVARA S.A.
VIVA3,06/01/2020,28.96,28.96,28.36,28.49,VIVARA S.A.
VIVA3,07/01/2020,28.56,28.80,27.58,27.90,VIVARA S.A.
VIVA3,08/01/2020,27.90,28.29,27.26,27.95,VIVARA S.A.
VIVA3,09/01/2020,27.98,28.88,27.98,28.40,VIVARA S.A.
VIVA3,10/01/2020,28.42,28.95,28.42,28.95,VIVARA S.A.
VIVA3,13/01/2020,29.09,30.49,29.02,30.00,VIVARA S.A.
VIVA3,14/01/2020,30.00,30.44,29.90,30.30,VIVARA S.A.
VIVA3,15/01/2020,30.23,31.67,29.95,31.65,VIVARA S.A.
VIVA3,16/01/2020,31.62,32.56,31.46,32.07,VIVARA S.A.
VIVA3,17/01/2020,32.30,32.76,31.71,32.41,VIVARA S.A.
VIVA3,20/01/2020,32.50,32.50,31.96,32.08,VIVARA S.A.
VIVA3,21/01/2020,32.10,32.23,30.95,31.11,VIVARA S.A.
VIVA3,22/01/2020,31.21,31.62,30.35,30.75,VIVARA S.A.
VIVA3,23/01/2020,30.60,31.28,30.23,31.28,VIVARA S.A.
VIVA3,24/01/2020,31.65,31.91,30.86,31.40,VIVARA S.A.
VIVA3,27/01/2020,30.50,30.85,29.50,30.50,VIVARA S.A.
VIVA3,28/01/2020,30.45,31.38,30.00,31.38,VIVARA S.A.
VIVA3,29/01/2020,31.60,32.40,31.22,32.00,VIVARA S.A.
VIVA3,30/01/2020,31.50,32.35,30.27,32.20,VIVARA S.A.
VIVA3,31/01/2020,31.70,31.95,30.85,31.47,VIVARA S.A.
VIVA3,03/02/2020,31.44,33.50,31.13,32.67,VIVARA S.A.
VIVA3,04/02/2020,32.99,33.40,32.22,32.71,VIVARA S.A.
VIVA3,05/02/2020,32.93,33.22,31.35,31.59,VIVARA S.A.
VIVA3,06/02/2020,31.59,31.91,30.06,30.50,VIVARA S.A.
VIVA3,07/02/2020,30.49,30.49,29.08,29.81,VIVARA S.A.
VIVA3,10/02/2020,29.50,29.60,28.00,28.91,VIVARA S.A.
VIVA3,11/02/2020,28.92,30.04,28.45,29.90,VIVARA S.A.
VIVA3,12/02/2020,30.44,30.49,29.26,29.99,VIVARA S.A.
