Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VIVT3,02/01/2020,48.58,48.62,47.81,48.24,TELEF BRASIL
VIVT3,03/01/2020,48.14,48.99,47.38,48.80,TELEF BRASIL
VIVT3,06/01/2020,48.64,48.96,48.16,48.33,TELEF BRASIL
VIVT3,07/01/2020,48.28,49.40,48.14,49.40,TELEF BRASIL
VIVT3,08/01/2020,49.40,49.92,49.01,49.90,TELEF BRASIL
VIVT3,09/01/2020,49.90,50.20,49.06,49.06,TELEF BRASIL
VIVT3,10/01/2020,49.11,50.28,49.09,50.28,TELEF BRASIL
VIVT3,13/01/2020,50.50,51.80,50.33,51.80,TELEF BRASIL
VIVT3,14/01/2020,51.90,52.94,51.29,52.94,TELEF BRASIL
VIVT3,15/01/2020,52.94,53.47,52.50,52.99,TELEF BRASIL
VIVT3,16/01/2020,53.00,54.29,52.97,53.99,TELEF BRASIL
VIVT3,17/01/2020,54.10,54.49,53.00,53.00,TELEF BRASIL
VIVT3,20/01/2020,53.00,53.25,52.69,53.00,TELEF BRASIL
VIVT3,21/01/2020,52.82,54.88,52.82,54.88,TELEF BRASIL
VIVT3,22/01/2020,54.88,54.88,53.32,53.50,TELEF BRASIL
VIVT3,23/01/2020,53.36,53.98,53.16,53.78,TELEF BRASIL
VIVT3,24/01/2020,53.90,54.30,53.17,54.30,TELEF BRASIL
VIVT3,27/01/2020,53.33,53.94,53.21,53.60,TELEF BRASIL
VIVT3,28/01/2020,53.56,54.09,53.50,53.94,TELEF BRASIL
VIVT3,29/01/2020,53.94,54.68,53.73,54.54,TELEF BRASIL
VIVT3,30/01/2020,54.00,54.00,52.10,52.79,TELEF BRASIL
VIVT3,31/01/2020,52.67,52.87,52.37,52.37,TELEF BRASIL
VIVT3,03/02/2020,52.40,53.91,52.40,53.06,TELEF BRASIL
VIVT3,04/02/2020,53.60,54.29,52.76,52.76,TELEF BRASIL
VIVT3,05/02/2020,52.87,53.38,52.42,52.42,TELEF BRASIL
VIVT3,06/02/2020,52.46,52.59,51.86,52.58,TELEF BRASIL
VIVT3,07/02/2020,52.58,52.58,51.70,51.90,TELEF BRASIL
VIVT3,10/02/2020,51.91,52.17,51.07,51.98,TELEF BRASIL
VIVT3,11/02/2020,52.24,52.94,51.93,52.90,TELEF BRASIL
VIVT3,12/02/2020,52.90,53.55,52.43,53.00,TELEF BRASIL
VIVT3,13/02/2020,53.14,54.16,52.62,54.16,TELEF BRASIL
VIVT3,14/02/2020,54.22,54.32,52.50,52.86,TELEF BRASIL
VIVT3,17/02/2020,52.91,53.17,52.37,53.02,TELEF BRASIL
VIVT3,18/02/2020,52.28,52.81,51.58,51.58,TELEF BRASIL
VIVT3,19/02/2020,51.07,52.79,51.07,51.87,TELEF BRASIL
VIVT3,20/02/2020,51.87,52.14,50.87,51.16,TELEF BRASIL
VIVT3,21/02/2020,51.17,52.59,50.63,52.59,TELEF BRASIL
VIVT3,26/02/2020,51.99,51.99,49.78,50.50,TELEF BRASIL
VIVT3,27/02/2020,50.04,50.59,48.06,48.06,TELEF BRASIL
VIVT3,28/02/2020,48.05,49.00,46.29,48.60,TELEF BRASIL
VIVT3,02/03/2020,49.50,51.40,48.47,51.40,TELEF BRASIL
VIVT3,03/03/2020,50.34,52.12,49.80,51.90,TELEF BRASIL
VIVT3,04/03/2020,51.93,53.67,51.65,53.67,TELEF BRASIL
VIVT3,05/03/2020,53.18,53.78,52.13,52.19,TELEF BRASIL
VIVT3,06/03/2020,51.13,51.39,49.50,51.14,TELEF BRASIL
VIVT3,09/03/2020,49.50,49.62,47.29,47.64,TELEF BRASIL
VIVT3,10/03/2020,49.88,53.97,49.62,53.51,TELEF BRASIL
VIVT3,11/03/2020,53.52,54.25,50.75,52.50,TELEF BRASIL
VIVT3,12/03/2020,49.99,50.00,46.33,48.90,TELEF BRASIL
VIVT3,13/03/2020,49.72,53.70,46.63,52.01,TELEF BRASIL
VIVT3,16/03/2020,50.35,52.00,48.05,48.73,TELEF BRASIL
VIVT3,17/03/2020,50.01,54.88,49.74,53.68,TELEF BRASIL
VIVT3,18/03/2020,52.77,53.73,50.10,52.99,TELEF BRASIL
VIVT3,19/03/2020,52.76,59.83,50.95,56.74,TELEF BRASIL
VIVT3,20/03/2020,59.00,60.72,50.52,50.52,TELEF BRASIL
VIVT3,23/03/2020,51.23,51.39,46.30,46.58,TELEF BRASIL
VIVT3,24/03/2020,50.00,50.39,46.55,46.61,TELEF BRASIL
VIVT3,25/03/2020,46.61,48.18,45.52,47.09,TELEF BRASIL
VIVT3,26/03/2020,46.71,49.71,46.70,48.97,TELEF BRASIL
VIVT3,27/03/2020,47.57,49.15,47.29,48.08,TELEF BRASIL
VIVT3,30/03/2020,48.83,49.08,47.13,49.00,TELEF BRASIL
VIVT3,31/03/2020,49.47,50.60,48.50,50.60,TELEF BRASIL
VIVT3,01/04/2020,48.98,51.32,47.77,50.10,TELEF BRASIL
VIVT3,02/04/2020,50.10,51.69,49.65,50.60,TELEF BRASIL
VIVT3,03/04/2020,51.00,51.46,49.01,49.91,TELEF BRASIL
VIVT3,06/04/2020,50.42,52.93,50.38,52.14,TELEF BRASIL
VIVT3,07/04/2020,52.56,54.53,51.22,51.80,TELEF BRASIL
VIVT3,08/04/2020,51.22,52.40,50.57,51.90,TELEF BRASIL
VIVT3,09/04/2020,52.43,52.51,50.30,50.86,TELEF BRASIL
VIVT3,13/04/2020,50.46,51.99,49.82,51.99,TELEF BRASIL
VIVT3,14/04/2020,51.99,52.70,50.75,51.16,TELEF BRASIL
VIVT3,15/04/2020,50.59,51.25,50.16,51.20,TELEF BRASIL
VIVT3,16/04/2020,51.13,51.18,48.25,49.40,TELEF BRASIL
VIVT3,17/04/2020,49.94,49.95,47.80,48.29,TELEF BRASIL
VIVT3,20/04/2020,47.90,48.93,47.46,48.21,TELEF BRASIL
VIVT3,22/04/2020,48.25,49.78,48.25,49.20,TELEF BRASIL
VIVT3,23/04/2020,49.31,49.92,47.62,49.28,TELEF BRASIL
VIVT3,24/04/2020,48.20,49.00,44.68,46.39,TELEF BRASIL
VIVT3,27/04/2020,46.80,47.88,46.18,47.49,TELEF BRASIL
VIVT3,28/04/2020,48.37,48.69,46.31,47.00,TELEF BRASIL
VIVT3,29/04/2020,47.03,47.44,45.71,46.73,TELEF BRASIL
VIVT3,30/04/2020,46.10,47.09,45.55,46.40,TELEF BRASIL
VIVT3,04/05/2020,45.89,49.24,45.33,48.86,TELEF BRASIL
VIVT3,05/05/2020,48.68,50.20,48.34,49.80,TELEF BRASIL
VIVT3,06/05/2020,49.82,51.49,48.56,49.60,TELEF BRASIL
VIVT3,07/05/2020,50.52,50.52,43.47,43.47,TELEF BRASIL
