Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VLID3,02/01/2020,16.98,17.15,16.72,17.04,VALID
VLID3,03/01/2020,16.60,17.34,16.13,16.81,VALID
VLID3,06/01/2020,16.71,17.63,16.54,17.55,VALID
VLID3,07/01/2020,17.55,17.76,17.15,17.23,VALID
VLID3,08/01/2020,17.21,17.23,16.78,16.82,VALID
VLID3,09/01/2020,16.97,17.57,16.88,17.34,VALID
VLID3,10/01/2020,17.41,17.60,17.06,17.17,VALID
VLID3,13/01/2020,17.34,17.52,16.95,17.37,VALID
VLID3,14/01/2020,17.48,18.46,17.46,18.46,VALID
VLID3,15/01/2020,19.52,19.89,18.53,19.00,VALID
VLID3,16/01/2020,19.10,19.70,18.62,19.10,VALID
VLID3,17/01/2020,19.25,19.51,18.89,19.40,VALID
VLID3,20/01/2020,19.12,19.47,18.77,19.00,VALID
VLID3,21/01/2020,18.75,19.78,18.56,19.31,VALID
VLID3,22/01/2020,19.44,20.37,19.44,19.77,VALID
VLID3,23/01/2020,19.78,19.80,19.32,19.32,VALID
VLID3,24/01/2020,19.40,19.76,18.92,19.01,VALID
VLID3,27/01/2020,18.60,19.07,17.51,18.66,VALID
VLID3,28/01/2020,18.66,19.05,18.32,19.00,VALID
VLID3,29/01/2020,19.05,19.38,18.72,18.89,VALID
VLID3,30/01/2020,18.69,18.69,18.00,18.24,VALID
VLID3,31/01/2020,18.24,18.35,17.57,17.57,VALID
VLID3,03/02/2020,17.50,18.01,17.00,18.01,VALID
VLID3,04/02/2020,18.30,18.66,17.75,17.75,VALID
VLID3,05/02/2020,18.16,18.27,17.77,18.00,VALID
VLID3,06/02/2020,18.07,18.20,17.18,17.42,VALID
VLID3,07/02/2020,17.42,17.54,17.07,17.23,VALID
VLID3,10/02/2020,17.18,17.18,16.41,16.42,VALID
VLID3,11/02/2020,16.56,17.39,16.56,17.30,VALID
VLID3,12/02/2020,17.39,17.56,16.96,17.02,VALID
VLID3,13/02/2020,16.85,17.40,16.60,17.40,VALID
VLID3,14/02/2020,17.40,17.62,17.00,17.16,VALID
VLID3,17/02/2020,17.43,17.43,16.78,16.80,VALID
VLID3,18/02/2020,16.82,17.14,16.51,17.14,VALID
VLID3,19/02/2020,17.16,18.17,17.03,18.17,VALID
VLID3,20/02/2020,18.18,18.24,17.61,17.74,VALID
VLID3,21/02/2020,17.77,17.85,17.50,17.85,VALID
VLID3,26/02/2020,16.44,16.45,15.32,15.32,VALID
VLID3,27/02/2020,15.09,15.69,14.66,14.91,VALID
VLID3,28/02/2020,14.63,14.83,13.90,14.68,VALID
VLID3,02/03/2020,14.68,15.53,14.68,15.26,VALID
VLID3,03/03/2020,15.26,15.92,15.02,15.02,VALID
VLID3,04/03/2020,15.40,15.85,14.93,15.38,VALID
VLID3,05/03/2020,15.35,15.35,14.00,14.01,VALID
VLID3,06/03/2020,13.00,14.57,12.90,14.34,VALID
VLID3,09/03/2020,12.70,13.03,11.61,11.87,VALID
VLID3,10/03/2020,12.80,13.40,11.80,12.64,VALID
VLID3,11/03/2020,12.20,12.67,11.56,11.64,VALID
VLID3,12/03/2020,9.00,10.29,7.78,10.08,VALID
VLID3,13/03/2020,11.09,11.36,9.73,10.19,VALID
VLID3,16/03/2020,8.80,9.80,8.59,9.16,VALID
VLID3,17/03/2020,9.35,9.58,8.70,9.09,VALID
VLID3,18/03/2020,8.15,8.69,7.37,7.61,VALID
