Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VULC3,02/01/2020,9.21,9.36,9.00,9.00,VULCABRAS
VULC3,03/01/2020,8.94,9.04,8.68,8.83,VULCABRAS
VULC3,06/01/2020,8.82,9.02,8.77,8.98,VULCABRAS
VULC3,07/01/2020,9.04,9.20,8.90,8.99,VULCABRAS
VULC3,08/01/2020,9.06,9.17,8.91,8.99,VULCABRAS
VULC3,09/01/2020,9.00,9.15,8.96,8.98,VULCABRAS
VULC3,10/01/2020,9.00,9.22,9.00,9.11,VULCABRAS
VULC3,13/01/2020,9.16,9.33,9.16,9.27,VULCABRAS
VULC3,14/01/2020,9.28,9.41,9.18,9.34,VULCABRAS
VULC3,15/01/2020,9.36,9.43,9.05,9.05,VULCABRAS
VULC3,16/01/2020,9.07,9.15,8.87,9.08,VULCABRAS
VULC3,17/01/2020,9.10,9.18,9.00,9.18,VULCABRAS
VULC3,20/01/2020,9.19,9.24,9.07,9.17,VULCABRAS
VULC3,21/01/2020,9.17,9.17,8.87,9.02,VULCABRAS
VULC3,22/01/2020,9.03,9.04,8.81,8.95,VULCABRAS
VULC3,23/01/2020,8.95,9.10,8.74,9.00,VULCABRAS
VULC3,24/01/2020,9.08,9.09,8.86,8.90,VULCABRAS
VULC3,27/01/2020,8.84,8.84,8.43,8.60,VULCABRAS
VULC3,28/01/2020,8.57,8.84,8.55,8.80,VULCABRAS
VULC3,29/01/2020,8.89,8.89,8.65,8.79,VULCABRAS
VULC3,30/01/2020,8.70,8.82,8.56,8.80,VULCABRAS
VULC3,31/01/2020,8.80,8.80,8.52,8.52,VULCABRAS
VULC3,03/02/2020,8.51,8.73,8.51,8.72,VULCABRAS
VULC3,04/02/2020,8.75,8.86,8.64,8.73,VULCABRAS
VULC3,05/02/2020,8.84,9.05,8.77,8.97,VULCABRAS
VULC3,06/02/2020,9.09,9.12,8.60,8.71,VULCABRAS
VULC3,07/02/2020,8.60,8.72,8.52,8.53,VULCABRAS
VULC3,10/02/2020,8.53,8.53,8.27,8.51,VULCABRAS
VULC3,11/02/2020,8.52,8.66,8.38,8.65,VULCABRAS
VULC3,12/02/2020,8.70,8.80,8.50,8.58,VULCABRAS
VULC3,13/02/2020,8.45,8.76,8.37,8.60,VULCABRAS
