Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
VVAR3,02/01/2020,11.33,11.76,11.23,11.73,VIAVAREJO
VVAR3,03/01/2020,11.47,12.00,11.47,11.48,VIAVAREJO
VVAR3,06/01/2020,11.45,11.68,11.20,11.48,VIAVAREJO
VVAR3,07/01/2020,11.50,11.65,11.42,11.65,VIAVAREJO
VVAR3,08/01/2020,11.61,11.83,11.45,11.60,VIAVAREJO
VVAR3,09/01/2020,11.68,11.79,11.58,11.66,VIAVAREJO
VVAR3,10/01/2020,11.73,11.76,11.61,11.70,VIAVAREJO
VVAR3,13/01/2020,11.77,12.70,11.75,12.70,VIAVAREJO
VVAR3,14/01/2020,12.70,13.36,12.61,13.35,VIAVAREJO
VVAR3,15/01/2020,13.27,13.56,13.10,13.55,VIAVAREJO
VVAR3,16/01/2020,13.70,14.03,13.38,13.59,VIAVAREJO
VVAR3,17/01/2020,13.78,13.87,13.21,13.73,VIAVAREJO
VVAR3,20/01/2020,13.77,14.25,13.65,14.01,VIAVAREJO
VVAR3,21/01/2020,13.83,14.37,13.78,14.32,VIAVAREJO
VVAR3,22/01/2020,14.60,15.03,14.50,15.00,VIAVAREJO
VVAR3,23/01/2020,14.93,15.19,14.80,15.16,VIAVAREJO
VVAR3,24/01/2020,15.25,15.43,14.50,15.00,VIAVAREJO
VVAR3,27/01/2020,14.37,14.60,13.86,13.90,VIAVAREJO
VVAR3,28/01/2020,14.18,14.70,14.17,14.64,VIAVAREJO
VVAR3,29/01/2020,14.93,15.05,14.31,14.45,VIAVAREJO
VVAR3,30/01/2020,13.95,14.65,13.68,14.65,VIAVAREJO
VVAR3,31/01/2020,14.29,14.81,14.00,14.00,VIAVAREJO
VVAR3,03/02/2020,14.25,14.58,14.03,14.49,VIAVAREJO
VVAR3,04/02/2020,15.00,15.04,14.82,14.95,VIAVAREJO
VVAR3,05/02/2020,15.20,15.32,14.98,15.14,VIAVAREJO
VVAR3,06/02/2020,15.30,15.34,14.68,14.85,VIAVAREJO
VVAR3,07/02/2020,14.65,14.80,14.26,14.32,VIAVAREJO
VVAR3,10/02/2020,14.33,14.76,13.56,13.79,VIAVAREJO
VVAR3,11/02/2020,14.10,14.62,13.89,14.62,VIAVAREJO
VVAR3,12/02/2020,14.76,15.08,14.62,14.99,VIAVAREJO
VVAR3,13/02/2020,14.50,15.06,14.30,15.01,VIAVAREJO
