Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
WEGE3,02/01/2020,34.90,35.47,34.72,35.24,WEG
WEGE3,03/01/2020,35.00,35.25,34.67,34.79,WEG
WEGE3,06/01/2020,34.70,35.10,34.39,34.88,WEG
WEGE3,07/01/2020,34.91,35.17,34.66,35.15,WEG
WEGE3,08/01/2020,35.20,35.22,33.82,33.82,WEG
WEGE3,09/01/2020,34.00,34.06,33.22,33.32,WEG
WEGE3,10/01/2020,33.50,34.30,33.49,34.00,WEG
WEGE3,13/01/2020,34.08,34.43,34.01,34.32,WEG
WEGE3,14/01/2020,34.44,35.00,34.09,35.00,WEG
WEGE3,15/01/2020,35.05,35.23,34.67,35.23,WEG
WEGE3,16/01/2020,35.29,36.50,35.29,35.87,WEG
WEGE3,17/01/2020,36.02,36.88,36.00,36.80,WEG
WEGE3,20/01/2020,36.80,37.93,36.64,37.93,WEG
WEGE3,21/01/2020,37.85,38.08,37.41,37.49,WEG
WEGE3,22/01/2020,37.84,38.90,37.55,38.90,WEG
WEGE3,23/01/2020,38.60,39.65,38.18,39.65,WEG
WEGE3,24/01/2020,39.70,41.46,39.41,41.43,WEG
WEGE3,27/01/2020,40.80,41.75,39.82,40.97,WEG
WEGE3,28/01/2020,40.95,42.40,40.73,42.01,WEG
WEGE3,29/01/2020,42.36,44.28,42.36,42.39,WEG
WEGE3,30/01/2020,41.80,42.70,40.54,40.97,WEG
WEGE3,31/01/2020,40.80,41.48,39.24,39.41,WEG
WEGE3,03/02/2020,39.80,41.08,39.67,40.67,WEG
WEGE3,04/02/2020,41.66,42.08,40.42,40.52,WEG
WEGE3,05/02/2020,40.84,41.72,40.84,41.37,WEG
WEGE3,06/02/2020,41.92,43.58,41.66,42.84,WEG
WEGE3,07/02/2020,42.87,43.37,41.10,41.10,WEG
WEGE3,10/02/2020,41.08,42.30,40.32,41.53,WEG
WEGE3,11/02/2020,42.03,43.06,41.75,43.05,WEG
WEGE3,12/02/2020,43.40,45.18,43.38,44.56,WEG
WEGE3,13/02/2020,44.30,45.69,43.20,45.57,WEG
WEGE3,14/02/2020,45.76,47.50,45.57,45.57,WEG
WEGE3,17/02/2020,45.65,46.58,44.94,45.78,WEG
WEGE3,18/02/2020,45.60,45.70,44.50,44.70,WEG
WEGE3,19/02/2020,46.00,49.28,46.00,48.82,WEG
WEGE3,20/02/2020,48.05,49.60,47.49,47.49,WEG
WEGE3,21/02/2020,47.43,50.13,47.00,49.80,WEG
WEGE3,26/02/2020,47.00,48.46,46.37,46.83,WEG
WEGE3,27/02/2020,46.81,46.81,43.69,43.97,WEG
WEGE3,28/02/2020,43.75,44.68,41.65,43.15,WEG
WEGE3,02/03/2020,43.90,46.99,43.26,46.99,WEG
WEGE3,03/03/2020,47.39,49.57,47.04,47.92,WEG
WEGE3,04/03/2020,49.50,49.80,47.84,48.46,WEG
WEGE3,05/03/2020,48.19,48.70,45.60,46.70,WEG
