Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
WIZS3,02/01/2020,14.12,14.67,14.12,14.35,WIZ S.A.
WIZS3,03/01/2020,14.33,14.54,14.10,14.35,WIZ S.A.
WIZS3,06/01/2020,14.35,15.13,14.15,15.13,WIZ S.A.
WIZS3,07/01/2020,15.13,15.97,14.58,15.97,WIZ S.A.
WIZS3,08/01/2020,15.70,15.74,14.42,14.90,WIZ S.A.
WIZS3,09/01/2020,14.95,14.95,14.74,14.75,WIZ S.A.
WIZS3,10/01/2020,14.88,15.15,14.64,14.64,WIZ S.A.
WIZS3,13/01/2020,14.66,15.04,14.66,14.80,WIZ S.A.
WIZS3,14/01/2020,14.80,15.05,14.75,14.87,WIZ S.A.
WIZS3,15/01/2020,14.90,15.25,14.82,15.20,WIZ S.A.
WIZS3,16/01/2020,15.23,15.50,15.20,15.35,WIZ S.A.
WIZS3,17/01/2020,15.50,15.72,15.35,15.61,WIZ S.A.
WIZS3,20/01/2020,15.62,15.90,15.55,15.90,WIZ S.A.
WIZS3,21/01/2020,15.92,15.92,15.45,15.60,WIZ S.A.
WIZS3,22/01/2020,15.61,16.07,15.58,15.91,WIZ S.A.
WIZS3,23/01/2020,15.91,16.06,15.80,15.90,WIZ S.A.
WIZS3,24/01/2020,15.90,16.32,15.82,16.32,WIZ S.A.
WIZS3,27/01/2020,16.32,16.79,15.56,15.71,WIZ S.A.
WIZS3,28/01/2020,15.79,16.02,15.74,16.00,WIZ S.A.
WIZS3,29/01/2020,15.99,16.36,15.91,16.12,WIZ S.A.
WIZS3,30/01/2020,16.00,16.17,15.58,16.17,WIZ S.A.
WIZS3,31/01/2020,16.17,16.17,15.58,15.62,WIZ S.A.
WIZS3,03/02/2020,15.60,15.94,15.14,15.80,WIZ S.A.
WIZS3,04/02/2020,15.90,16.09,15.62,15.68,WIZ S.A.
WIZS3,05/02/2020,15.68,16.07,15.68,15.95,WIZ S.A.
WIZS3,06/02/2020,16.05,16.13,15.67,15.96,WIZ S.A.
WIZS3,07/02/2020,15.96,15.96,15.42,15.58,WIZ S.A.
WIZS3,10/02/2020,15.52,15.57,14.86,15.30,WIZ S.A.
WIZS3,11/02/2020,15.40,15.68,15.19,15.50,WIZ S.A.
WIZS3,12/02/2020,15.56,16.11,15.27,16.05,WIZ S.A.
WIZS3,13/02/2020,15.94,16.04,15.59,15.93,WIZ S.A.
WIZS3,14/02/2020,16.02,16.02,15.76,15.89,WIZ S.A.
WIZS3,17/02/2020,15.95,15.98,15.61,15.98,WIZ S.A.
WIZS3,18/02/2020,15.98,15.98,15.67,15.71,WIZ S.A.
WIZS3,19/02/2020,15.71,15.93,15.64,15.73,WIZ S.A.
WIZS3,20/02/2020,15.81,15.88,15.31,15.47,WIZ S.A.
WIZS3,21/02/2020,15.39,15.39,14.16,14.73,WIZ S.A.
WIZS3,26/02/2020,14.01,14.09,13.60,13.82,WIZ S.A.
WIZS3,27/02/2020,13.75,14.17,13.45,14.00,WIZ S.A.
WIZS3,28/02/2020,13.97,14.10,13.43,14.10,WIZ S.A.
WIZS3,02/03/2020,14.10,15.20,13.96,15.00,WIZ S.A.
WIZS3,03/03/2020,15.00,15.27,14.42,14.79,WIZ S.A.
WIZS3,04/03/2020,15.00,15.20,14.00,14.21,WIZ S.A.
WIZS3,05/03/2020,14.13,14.14,12.65,12.65,WIZ S.A.
WIZS3,06/03/2020,12.35,13.38,11.82,12.90,WIZ S.A.
WIZS3,09/03/2020,11.60,12.58,11.46,12.58,WIZ S.A.
WIZS3,10/03/2020,12.94,13.19,11.61,12.19,WIZ S.A.
WIZS3,11/03/2020,12.00,12.41,11.20,11.93,WIZ S.A.
WIZS3,12/03/2020,10.00,10.70,9.61,9.72,WIZ S.A.
WIZS3,13/03/2020,11.23,11.25,10.13,11.25,WIZ S.A.
WIZS3,16/03/2020,10.03,10.36,9.57,9.75,WIZ S.A.
WIZS3,17/03/2020,9.93,10.08,9.41,10.00,WIZ S.A.
WIZS3,18/03/2020,9.44,9.44,7.50,7.77,WIZ S.A.
WIZS3,19/03/2020,7.50,8.40,6.68,8.40,WIZ S.A.
WIZS3,20/03/2020,8.97,9.13,7.50,7.60,WIZ S.A.
WIZS3,23/03/2020,7.60,8.05,7.45,7.76,WIZ S.A.
WIZS3,24/03/2020,7.94,8.33,7.63,8.25,WIZ S.A.
WIZS3,25/03/2020,8.35,8.91,8.04,8.40,WIZ S.A.
WIZS3,26/03/2020,8.40,9.22,8.11,8.90,WIZ S.A.
WIZS3,27/03/2020,8.76,9.34,8.41,9.11,WIZ S.A.
WIZS3,30/03/2020,9.25,9.85,9.13,9.80,WIZ S.A.
WIZS3,31/03/2020,9.80,9.80,9.02,9.02,WIZ S.A.
WIZS3,01/04/2020,8.75,9.58,8.49,9.19,WIZ S.A.
