Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
WSON33,02/01/2020,45.24,46.00,43.81,46.00,WILSON SONS
WSON33,03/01/2020,45.72,47.50,45.50,46.01,WILSON SONS
WSON33,06/01/2020,45.17,47.50,45.17,46.33,WILSON SONS
WSON33,07/01/2020,46.13,47.49,46.01,46.20,WILSON SONS
WSON33,08/01/2020,46.97,46.97,46.00,46.49,WILSON SONS
WSON33,09/01/2020,46.49,46.50,46.00,46.50,WILSON SONS
WSON33,10/01/2020,46.49,46.50,46.49,46.50,WILSON SONS
WSON33,13/01/2020,47.40,47.56,46.11,46.60,WILSON SONS
WSON33,14/01/2020,47.00,47.00,46.99,47.00,WILSON SONS
WSON33,15/01/2020,46.99,49.70,46.00,49.70,WILSON SONS
WSON33,16/01/2020,49.64,51.47,49.02,49.37,WILSON SONS
WSON33,17/01/2020,49.00,49.50,48.15,48.44,WILSON SONS
WSON33,20/01/2020,48.20,49.39,48.20,48.50,WILSON SONS
WSON33,21/01/2020,47.36,47.60,46.54,46.70,WILSON SONS
WSON33,22/01/2020,45.56,47.89,45.55,47.00,WILSON SONS
WSON33,23/01/2020,46.71,47.98,46.12,46.50,WILSON SONS
WSON33,24/01/2020,47.30,47.98,46.80,47.00,WILSON SONS
WSON33,27/01/2020,45.70,46.96,45.70,46.40,WILSON SONS
WSON33,28/01/2020,46.41,49.22,46.40,48.50,WILSON SONS
WSON33,29/01/2020,48.50,48.50,48.50,48.50,WILSON SONS
WSON33,30/01/2020,48.50,49.00,47.00,48.50,WILSON SONS
WSON33,31/01/2020,52.00,52.00,48.50,49.48,WILSON SONS
WSON33,03/02/2020,49.00,49.99,49.00,49.00,WILSON SONS
WSON33,04/02/2020,49.74,50.00,49.50,49.97,WILSON SONS
WSON33,05/02/2020,49.22,50.00,49.00,49.00,WILSON SONS
WSON33,06/02/2020,49.94,49.95,48.66,49.44,WILSON SONS
WSON33,07/02/2020,49.94,49.94,48.56,49.55,WILSON SONS
WSON33,10/02/2020,49.05,49.30,48.55,48.93,WILSON SONS
WSON33,11/02/2020,49.49,49.50,49.13,49.50,WILSON SONS
WSON33,12/02/2020,49.50,49.89,49.31,49.70,WILSON SONS
WSON33,13/02/2020,49.51,49.51,49.02,49.20,WILSON SONS
WSON33,14/02/2020,49.22,49.22,48.70,48.90,WILSON SONS
WSON33,17/02/2020,48.61,48.90,48.50,48.80,WILSON SONS
WSON33,18/02/2020,48.46,49.45,48.36,49.45,WILSON SONS
WSON33,19/02/2020,48.90,50.97,48.90,49.00,WILSON SONS
WSON33,20/02/2020,48.60,48.60,48.10,48.20,WILSON SONS
WSON33,21/02/2020,48.00,50.12,48.00,49.50,WILSON SONS
WSON33,26/02/2020,47.15,48.99,46.98,48.00,WILSON SONS
WSON33,27/02/2020,47.01,47.88,45.41,46.50,WILSON SONS
WSON33,28/02/2020,45.61,47.00,45.01,47.00,WILSON SONS
WSON33,02/03/2020,46.99,47.00,46.32,47.00,WILSON SONS
WSON33,03/03/2020,46.99,47.00,46.15,47.00,WILSON SONS
WSON33,04/03/2020,47.00,48.40,45.10,46.50,WILSON SONS
WSON33,05/03/2020,47.00,47.00,45.60,46.39,WILSON SONS
WSON33,06/03/2020,45.01,45.20,43.50,44.20,WILSON SONS
WSON33,09/03/2020,42.82,42.82,40.00,41.50,WILSON SONS
WSON33,10/03/2020,43.00,44.50,42.54,43.45,WILSON SONS
WSON33,11/03/2020,42.51,42.74,38.87,40.00,WILSON SONS
WSON33,12/03/2020,38.00,38.01,32.90,32.90,WILSON SONS
WSON33,13/03/2020,34.00,35.80,32.21,33.50,WILSON SONS
WSON33,16/03/2020,32.99,33.00,31.00,31.70,WILSON SONS
WSON33,17/03/2020,31.01,32.00,30.10,31.00,WILSON SONS
WSON33,18/03/2020,30.00,30.31,26.99,27.40,WILSON SONS
WSON33,19/03/2020,28.50,30.50,26.80,28.50,WILSON SONS
WSON33,20/03/2020,29.50,29.63,26.15,28.00,WILSON SONS
WSON33,23/03/2020,27.97,27.99,26.50,27.30,WILSON SONS
WSON33,24/03/2020,27.90,29.30,27.79,28.00,WILSON SONS
WSON33,25/03/2020,27.50,32.29,27.50,29.00,WILSON SONS
WSON33,26/03/2020,30.54,30.90,29.50,29.50,WILSON SONS
WSON33,27/03/2020,29.20,29.29,28.00,29.20,WILSON SONS
WSON33,30/03/2020,29.20,30.42,29.20,30.00,WILSON SONS
WSON33,31/03/2020,30.90,30.90,28.43,28.43,WILSON SONS
WSON33,01/04/2020,27.80,28.55,27.61,28.32,WILSON SONS
WSON33,02/04/2020,28.99,29.00,28.00,28.01,WILSON SONS
WSON33,03/04/2020,27.30,30.00,27.00,30.00,WILSON SONS
WSON33,06/04/2020,30.99,31.50,29.51,29.51,WILSON SONS
WSON33,07/04/2020,30.78,31.10,30.00,30.21,WILSON SONS
WSON33,08/04/2020,30.88,33.88,30.88,33.88,WILSON SONS
WSON33,09/04/2020,32.00,32.28,30.00,30.00,WILSON SONS
