Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
XBOV11,02/01/2020,115.00,116.30,115.00,116.30,CAIXAETFXBOV
XBOV11,03/01/2020,116.17,116.45,115.51,115.51,CAIXAETFXBOV
XBOV11,06/01/2020,114.62,114.70,114.62,114.70,CAIXAETFXBOV
XBOV11,07/01/2020,114.39,114.47,114.39,114.47,CAIXAETFXBOV
XBOV11,08/01/2020,115.00,115.00,113.70,114.09,CAIXAETFXBOV
XBOV11,09/01/2020,116.50,116.50,113.79,113.79,CAIXAETFXBOV
XBOV11,10/01/2020,114.10,114.10,113.00,113.37,CAIXAETFXBOV
XBOV11,13/01/2020,114.13,115.12,114.13,115.12,CAIXAETFXBOV
XBOV11,14/01/2020,118.00,118.00,115.05,115.42,CAIXAETFXBOV
XBOV11,15/01/2020,114.87,114.87,114.23,114.23,CAIXAETFXBOV
XBOV11,16/01/2020,114.77,114.77,114.52,114.52,CAIXAETFXBOV
XBOV11,17/01/2020,115.54,116.23,115.43,116.23,CAIXAETFXBOV
XBOV11,20/01/2020,116.23,116.23,116.22,116.22,CAIXAETFXBOV
XBOV11,21/01/2020,115.00,115.00,114.82,114.82,CAIXAETFXBOV
XBOV11,22/01/2020,116.14,116.14,116.14,116.14,CAIXAETFXBOV
XBOV11,23/01/2020,117.05,117.19,117.05,117.19,CAIXAETFXBOV
XBOV11,24/01/2020,116.26,116.26,116.07,116.07,CAIXAETFXBOV
XBOV11,27/01/2020,113.54,113.54,112.30,112.30,CAIXAETFXBOV
XBOV11,28/01/2020,114.23,114.23,114.23,114.23,CAIXAETFXBOV
XBOV11,29/01/2020,117.00,117.00,113.12,113.12,CAIXAETFXBOV
XBOV11,30/01/2020,111.18,113.30,110.71,113.30,CAIXAETFXBOV
XBOV11,31/01/2020,112.50,112.50,111.12,111.54,CAIXAETFXBOV
XBOV11,03/02/2020,113.73,113.73,111.39,112.41,CAIXAETFXBOV
XBOV11,04/02/2020,113.92,113.92,113.31,113.31,CAIXAETFXBOV
XBOV11,05/02/2020,115.04,115.04,113.77,113.77,CAIXAETFXBOV
XBOV11,06/02/2020,113.87,113.87,112.95,112.95,CAIXAETFXBOV
XBOV11,07/02/2020,111.79,111.79,111.58,111.58,CAIXAETFXBOV
XBOV11,10/02/2020,111.40,111.40,110.42,110.42,CAIXAETFXBOV
XBOV11,11/02/2020,113.19,113.22,112.66,113.13,CAIXAETFXBOV
XBOV11,12/02/2020,114.39,114.39,114.39,114.39,CAIXAETFXBOV
XBOV11,13/02/2020,113.00,113.40,113.00,113.40,CAIXAETFXBOV
XBOV11,14/02/2020,112.86,112.86,112.17,112.17,CAIXAETFXBOV
XBOV11,17/02/2020,113.25,113.25,113.06,113.06,CAIXAETFXBOV
XBOV11,18/02/2020,112.28,112.74,111.55,112.74,CAIXAETFXBOV
XBOV11,19/02/2020,113.73,114.22,113.73,114.22,CAIXAETFXBOV
XBOV11,20/02/2020,112.36,112.36,112.36,112.36,CAIXAETFXBOV
XBOV11,21/02/2020,110.93,111.41,110.85,111.35,CAIXAETFXBOV
XBOV11,26/02/2020,103.79,103.79,103.79,103.79,CAIXAETFXBOV
XBOV11,27/02/2020,104.00,104.00,101.14,101.14,CAIXAETFXBOV
XBOV11,28/02/2020,100.00,102.08,98.00,102.08,CAIXAETFXBOV
XBOV11,02/03/2020,102.02,104.58,102.02,104.58,CAIXAETFXBOV
XBOV11,03/03/2020,104.16,105.25,103.63,103.63,CAIXAETFXBOV
XBOV11,04/03/2020,105.00,105.27,104.43,105.27,CAIXAETFXBOV
XBOV11,05/03/2020,103.50,103.50,100.00,100.33,CAIXAETFXBOV
XBOV11,06/03/2020,95.75,96.30,95.75,96.30,CAIXAETFXBOV
XBOV11,09/03/2020,96.20,96.20,84.74,84.74,CAIXAETFXBOV
