Codneg,Data,Abertura,Maxima,Minima,Fechamento,Empresa
YDUQ3,02/01/2020,47.85,48.47,46.75,46.75,YDUQS PART
YDUQ3,03/01/2020,46.75,47.39,45.77,45.77,YDUQS PART
YDUQ3,06/01/2020,45.50,47.19,45.00,46.65,YDUQS PART
YDUQ3,07/01/2020,47.00,47.08,45.37,45.78,YDUQS PART
YDUQ3,08/01/2020,46.30,46.62,44.88,45.51,YDUQS PART
YDUQ3,09/01/2020,45.70,45.91,45.17,45.91,YDUQS PART
YDUQ3,10/01/2020,45.91,46.32,45.40,46.11,YDUQS PART
YDUQ3,13/01/2020,46.50,47.90,46.08,47.70,YDUQS PART
YDUQ3,14/01/2020,47.71,48.70,47.28,48.70,YDUQS PART
YDUQ3,15/01/2020,48.50,48.81,47.88,48.27,YDUQS PART
YDUQ3,16/01/2020,48.75,48.84,48.15,48.50,YDUQS PART
YDUQ3,17/01/2020,48.70,50.08,48.50,50.00,YDUQS PART
YDUQ3,20/01/2020,49.96,52.37,49.07,52.00,YDUQS PART
YDUQ3,21/01/2020,51.80,52.50,50.69,51.47,YDUQS PART
YDUQ3,22/01/2020,51.68,52.16,50.45,51.00,YDUQS PART
YDUQ3,23/01/2020,50.30,52.09,49.99,51.99,YDUQS PART
YDUQ3,24/01/2020,52.00,52.88,51.46,52.03,YDUQS PART
YDUQ3,27/01/2020,50.61,50.99,49.85,50.84,YDUQS PART
YDUQ3,28/01/2020,51.05,52.69,50.63,52.23,YDUQS PART
YDUQ3,29/01/2020,52.49,53.05,51.37,51.84,YDUQS PART
YDUQ3,30/01/2020,50.21,52.29,49.29,52.29,YDUQS PART
YDUQ3,31/01/2020,51.37,53.62,51.16,52.71,YDUQS PART
YDUQ3,03/02/2020,53.95,56.16,53.66,54.87,YDUQS PART
YDUQ3,04/02/2020,56.65,57.42,55.17,56.60,YDUQS PART
YDUQ3,05/02/2020,57.06,57.63,54.96,55.50,YDUQS PART
YDUQ3,06/02/2020,55.55,56.46,53.55,53.66,YDUQS PART
YDUQ3,07/02/2020,53.03,53.78,52.50,52.80,YDUQS PART
YDUQ3,10/02/2020,52.80,53.13,51.15,52.15,YDUQS PART
YDUQ3,11/02/2020,52.51,53.48,51.93,53.00,YDUQS PART
YDUQ3,12/02/2020,53.78,55.08,52.76,54.13,YDUQS PART
YDUQ3,13/02/2020,53.00,54.24,52.21,53.37,YDUQS PART
YDUQ3,14/02/2020,53.52,54.00,52.72,53.50,YDUQS PART
YDUQ3,17/02/2020,53.78,53.85,52.96,53.85,YDUQS PART
YDUQ3,18/02/2020,53.60,54.21,52.56,54.21,YDUQS PART
YDUQ3,19/02/2020,54.29,55.79,53.58,55.41,YDUQS PART
YDUQ3,20/02/2020,55.21,55.45,54.20,55.00,YDUQS PART
YDUQ3,21/02/2020,54.80,56.65,54.08,56.00,YDUQS PART
YDUQ3,26/02/2020,54.01,55.00,52.72,53.45,YDUQS PART
YDUQ3,27/02/2020,53.37,53.37,50.42,51.30,YDUQS PART
YDUQ3,28/02/2020,51.59,51.89,49.40,51.89,YDUQS PART
YDUQ3,02/03/2020,50.40,51.50,49.66,50.12,YDUQS PART
YDUQ3,03/03/2020,49.22,52.74,48.85,51.08,YDUQS PART
YDUQ3,04/03/2020,51.35,52.02,50.00,50.02,YDUQS PART
YDUQ3,05/03/2020,49.59,49.99,45.58,46.60,YDUQS PART
YDUQ3,06/03/2020,44.00,46.18,43.74,44.60,YDUQS PART
YDUQ3,09/03/2020,40.23,42.41,39.74,40.08,YDUQS PART
YDUQ3,10/03/2020,41.25,45.01,41.25,45.01,YDUQS PART
YDUQ3,11/03/2020,42.70,44.10,38.51,42.35,YDUQS PART
YDUQ3,12/03/2020,37.05,37.21,32.47,36.60,YDUQS PART
YDUQ3,13/03/2020,40.00,40.99,33.13,34.40,YDUQS PART
YDUQ3,16/03/2020,26.61,31.97,25.30,25.74,YDUQS PART
YDUQ3,17/03/2020,26.04,26.89,25.00,26.62,YDUQS PART
YDUQ3,18/03/2020,25.00,25.37,21.97,23.53,YDUQS PART
YDUQ3,19/03/2020,21.81,25.52,20.11,24.28,YDUQS PART
YDUQ3,20/03/2020,25.26,25.59,21.30,22.40,YDUQS PART
YDUQ3,23/03/2020,22.61,23.59,20.50,21.00,YDUQS PART
YDUQ3,24/03/2020,23.70,25.00,21.66,21.77,YDUQS PART
YDUQ3,25/03/2020,21.77,27.38,21.71,26.79,YDUQS PART
YDUQ3,26/03/2020,26.11,33.07,26.02,32.34,YDUQS PART
YDUQ3,27/03/2020,30.36,31.00,27.82,28.00,YDUQS PART
YDUQ3,30/03/2020,28.11,29.34,26.41,26.77,YDUQS PART
YDUQ3,31/03/2020,26.68,26.68,21.98,22.17,YDUQS PART
YDUQ3,01/04/2020,21.20,22.87,20.51,21.70,YDUQS PART
YDUQ3,02/04/2020,22.02,22.38,20.13,20.62,YDUQS PART
YDUQ3,03/04/2020,20.40,21.48,20.14,21.03,YDUQS PART
YDUQ3,06/04/2020,22.39,23.43,22.04,22.21,YDUQS PART
YDUQ3,07/04/2020,23.80,27.88,23.67,26.50,YDUQS PART
YDUQ3,08/04/2020,26.80,27.81,25.70,27.45,YDUQS PART
YDUQ3,09/04/2020,27.70,28.32,26.50,27.05,YDUQS PART
YDUQ3,13/04/2020,27.00,27.15,24.81,26.30,YDUQS PART
YDUQ3,14/04/2020,27.00,28.00,26.89,27.17,YDUQS PART
YDUQ3,15/04/2020,26.55,29.13,26.22,28.02,YDUQS PART
YDUQ3,16/04/2020,28.08,29.06,27.42,28.50,YDUQS PART
YDUQ3,17/04/2020,29.26,31.26,28.50,29.00,YDUQS PART
YDUQ3,20/04/2020,28.70,30.15,27.94,29.00,YDUQS PART
YDUQ3,22/04/2020,29.58,31.81,29.30,30.80,YDUQS PART
YDUQ3,23/04/2020,31.49,31.49,28.36,28.90,YDUQS PART
YDUQ3,24/04/2020,28.60,28.92,25.13,27.55,YDUQS PART
YDUQ3,27/04/2020,28.00,28.47,26.51,27.78,YDUQS PART
YDUQ3,28/04/2020,28.15,29.00,27.80,28.50,YDUQS PART
YDUQ3,29/04/2020,28.95,30.90,28.00,30.15,YDUQS PART
YDUQ3,30/04/2020,29.23,31.10,29.04,30.35,YDUQS PART
YDUQ3,04/05/2020,29.22,29.66,28.05,28.53,YDUQS PART
YDUQ3,05/05/2020,29.06,30.05,28.63,28.84,YDUQS PART
YDUQ3,06/05/2020,28.96,29.41,27.24,28.04,YDUQS PART
YDUQ3,07/05/2020,28.41,28.78,26.20,26.78,YDUQS PART
YDUQ3,08/05/2020,27.96,27.96,26.50,27.04,YDUQS PART
YDUQ3,11/05/2020,26.83,26.90,25.75,25.81,YDUQS PART
YDUQ3,12/05/2020,26.30,27.46,24.45,24.65,YDUQS PART
YDUQ3,13/05/2020,24.84,25.26,23.30,23.78,YDUQS PART
YDUQ3,14/05/2020,23.50,24.39,22.81,24.12,YDUQS PART
YDUQ3,15/05/2020,23.61,24.67,22.81,23.81,YDUQS PART
YDUQ3,18/05/2020,24.50,27.03,24.50,26.44,YDUQS PART
YDUQ3,19/05/2020,26.50,27.15,25.80,26.05,YDUQS PART
YDUQ3,20/05/2020,26.16,27.80,25.90,25.95,YDUQS PART
YDUQ3,21/05/2020,26.15,27.60,25.92,26.98,YDUQS PART
YDUQ3,22/05/2020,26.19,26.56,25.21,25.58,YDUQS PART
YDUQ3,25/05/2020,26.69,28.00,26.64,27.53,YDUQS PART
YDUQ3,26/05/2020,28.48,29.77,27.69,27.93,YDUQS PART
YDUQ3,27/05/2020,28.27,30.10,28.09,30.10,YDUQS PART
YDUQ3,28/05/2020,29.50,29.65,28.30,28.51,YDUQS PART
YDUQ3,29/05/2020,28.40,28.95,27.67,28.48,YDUQS PART
YDUQ3,01/06/2020,28.03,29.82,28.03,29.82,YDUQS PART
YDUQ3,02/06/2020,30.03,33.91,30.03,33.55,YDUQS PART
YDUQ3,03/06/2020,35.02,36.20,34.38,35.14,YDUQS PART
YDUQ3,04/06/2020,35.39,36.26,34.31,35.11,YDUQS PART
YDUQ3,05/06/2020,37.31,40.50,36.91,38.56,YDUQS PART
YDUQ3,08/06/2020,39.21,39.56,36.60,37.15,YDUQS PART
YDUQ3,09/06/2020,37.13,37.13,35.52,36.64,YDUQS PART
YDUQ3,10/06/2020,37.25,37.58,34.90,34.90,YDUQS PART
YDUQ3,12/06/2020,33.43,34.53,32.61,33.43,YDUQS PART
YDUQ3,15/06/2020,32.10,33.40,31.12,32.86,YDUQS PART
YDUQ3,16/06/2020,34.40,35.10,31.70,32.01,YDUQS PART
YDUQ3,17/06/2020,31.91,34.68,31.91,34.29,YDUQS PART
YDUQ3,18/06/2020,34.47,34.75,33.31,34.10,YDUQS PART
YDUQ3,19/06/2020,34.62,35.72,33.91,35.24,YDUQS PART
YDUQ3,22/06/2020,35.60,36.12,34.71,35.20,YDUQS PART
YDUQ3,23/06/2020,36.20,37.30,35.53,37.05,YDUQS PART
YDUQ3,24/06/2020,37.02,37.02,34.95,35.13,YDUQS PART
YDUQ3,25/06/2020,35.24,35.72,34.15,34.75,YDUQS PART
YDUQ3,26/06/2020,34.67,35.12,32.80,33.09,YDUQS PART
