Period,Dependente,Independente,Dickey-Fuller,ADF,Beta,HalfLife,Hurst,Corr,Signal,SignalStr,PeriodQt,PeriodStr
100,ABEV3,AZUL4,0.04854251831413268,90,0.10864989302755,16,0.4121647539378493,0.9228572788809328,0.41348633127079304,Short/Long,1,100
250,ABEV3,BBAS3,0.04919007264859725,90,0.29819688557124024,11,0.42725646825031616,0.9160425173576174,0.2970632142574986,Short/Long,3,"100,180,250"
250,ABEV3,BBDC3,0.03367213082437094,95,0.4362189289990198,12,0.404306741458336,0.933717961955855,0.5647577155718815,Short/Long,7,"140,160,180,200,220,240,250"
250,ABEV3,BBDC4,0.01616918202641232,95,0.4089074768593294,10,0.39105905618367137,0.9356898102775619,0.6169548488207891,Short/Long,6,"160,180,200,220,240,250"
250,ABEV3,BBSE3,0.04329236461126367,95,0.6062660836724397,11,0.29301899267236353,0.9023942923676901,0.10098373982015335,Long/Short,9,"100,120,140,160,180,200,220,240,250"
220,ABEV3,BRDT3,0.03572387343091579,95,0.5947467768254922,15,0.46742883766057,0.872492222128701,0.060871059602503434,Long/Short,3,"100,180,220"
250,ABEV3,BRFS3,0.003846424078964,99,0.3597745153625961,7,0.39305721999746795,0.945401692982335,0.29850985262397645,Short/Long,6,"160,180,200,220,240,250"
220,ABEV3,CCRO3,0.007257888741216717,99,1.070659021359027,20,0.27417854088481164,0.7556871014511289,0.4509585257894648,Long/Short,7,"100,120,140,160,180,200,220"
250,ABEV3,CIEL3,0.02879406745747453,95,1.761866797020578,7,0.3334144402535091,0.9274063124705083,0.4230545257458918,Short/Long,4,"200,220,240,250"
120,ABEV3,CMIG4,0.01182773806806713,95,0.9434406222754911,17,0.48295619519873584,0.889814039131281,0.035051834372801446,Short/Long,2,"100,120"
100,ABEV3,CSAN3,0.02689975077716959,95,0.16650448609065527,84,0.5280104415474324,-0.04706326564791177,0.42555117046850965,Long/Short,1,100
240,ABEV3,CSNA3,0.023540563897533565,95,0.937011297096333,12,0.35698725407554943,0.8988239988874646,0.4556758639849745,Long/Short,8,"100,120,140,160,180,200,220,240"
250,ABEV3,CVCB3,0.019387617596635116,95,0.1732386088723752,9,0.3695880810831563,0.9530129053811899,0.345821913767706,Short/Long,7,"100,120,140,160,220,240,250"
100,ABEV3,CYRE3,0.0006120234504778852,99,0.2513917192488192,41,0.4597980746777577,0.7081615653679474,0.4602836997691507,Long/Short,1,100
120,ABEV3,ECOR3,0.01885411104729156,95,0.7812858579011781,73,0.37897138425282656,0.4600036431998321,0.45208531488005427,Long/Short,2,"100,120"
120,ABEV3,EGIE3,0.044984221657880546,95,0.4552457451536888,38,0.3366319552601424,0.6435315749992835,0.2133457349772632,Long/Short,2,"100,120"
250,ABEV3,ELET3,0.004245480749157707,99,0.3761806150319565,8,0.4074310325574987,0.9079762483299749,0.3900753373647992,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,ABEV3,ELET6,0.012960270308164013,95,0.4065296222529996,11,0.4652702958256448,0.8912906574588875,0.2513653928078074,Long/Short,7,"100,120,180,200,220,240,250"
120,ABEV3,ENBR3,0.012364379394892294,95,0.9316670341562648,27,0.38465061519672694,0.747433784848791,0.19059014317636377,Long/Short,2,"100,120"
100,ABEV3,ENGI11,0.019427303341681922,95,0.24464432411085552,52,0.4449005698789644,0.558328610028954,0.48277223893826027,Long/Short,1,100
100,ABEV3,EQTL3,0.0013623037187408373,99,0.5336681275082273,33,0.5623826231467948,0.6624234385235767,0.22091689192352745,Long/Short,1,100
120,ABEV3,FLRY3,0.03930824170960967,95,0.5358733806256294,78,0.4124707168399172,0.4407497274251895,0.41651526047797033,Long/Short,2,"100,120"
120,ABEV3,GGBR4,0.016063159176325635,95,0.60259572124364,100,0.40594562740444784,0.445910930748413,0.5205882387861582,Long/Short,2,"100,120"
120,ABEV3,GOAU4,0.011090163431600105,95,1.1974576277212674,88,0.39947974584671825,0.5117239681338288,0.5167994391547478,Long/Short,2,"100,120"
250,ABEV3,GOLL4,0.026846168297972272,95,0.2615732373034654,7,0.43248202199257607,0.9589018127286801,0.031832634824326224,Short/Long,7,"100,120,140,160,180,240,250"
250,ABEV3,HGTX3,0.015733178513977708,95,0.34051242564028383,8,0.30758544615613775,0.9618994072447606,0.9384123762262805,Short/Long,3,"220,240,250"
100,ABEV3,HYPE3,0.0005287712259580626,99,0.4375335406167281,80,0.4392949041445897,0.3207993316396815,0.5145389646305052,Long/Short,1,100
180,ABEV3,IRBR3,0.010457949536149466,95,0.19607809275796076,22,0.4475670127267078,0.7439288485881532,0.12856855546304577,Long/Short,4,"120,140,160,180"
220,ABEV3,ITSA4,0.04934879208143144,90,1.376719281971806,13,0.41984355671941875,0.9220266549740127,0.24291928473525828,Short/Long,7,"100,120,140,160,180,200,220"
250,ABEV3,ITUB4,0.0050211860434301115,99,0.5141132285502166,8,0.38222320719050834,0.9483724410446471,0.24538539852468938,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,ABEV3,JBSS3,0.019631267626508044,95,0.6565601333971682,11,0.3745493628000321,0.7966800911100468,0.07118671862036655,Short/Long,6,"160,180,200,220,240,250"
120,ABEV3,LREN3,0.038259395512172015,95,0.266109336472109,21,0.384073891011547,0.8019917032449516,0.06898552782589797,Long/Short,2,"100,120"
140,ABEV3,MRVE3,0.013270906297505583,95,0.7850754175009464,16,0.29408528214449586,0.8129274175643125,0.6277890475888599,Long/Short,2,"100,140"
180,ABEV3,PETR3,0.04694113215287355,95,0.3975708338746028,15,0.4929598143803945,0.8899583471970748,0.20793485510807336,Long/Short,2,"100,180"
180,ABEV3,PETR4,0.03399490220569347,95,0.447332484389741,17,0.47279772004439247,0.8662736564670486,0.22745397965448466,Long/Short,2,"100,180"
220,ABEV3,QUAL3,0.04552207288280789,95,0.29066845159129595,68,0.4347903153054332,0.4277113817649182,0.406114154930909,Long/Short,3,"100,120,220"
120,ABEV3,RADL3,0.03985742921584106,95,0.252261997534029,47,0.4780444462834084,-0.2926543486231175,0.40520606530175024,Long/Short,2,"100,120"
100,ABEV3,RENT3,0.005153703791932186,99,0.18783777556083742,30,0.4785835509269814,0.7349433053637912,0.48771705034767915,Long/Short,1,100
250,ABEV3,SANB11,0.023469433274243758,95,0.3288223358728322,10,0.3903546216648625,0.9427318092691247,0.5093925988772171,Short/Long,9,"100,120,140,160,180,200,220,240,250"
100,ABEV3,SBSP3,0.006874931877550829,99,0.16660080825871812,56,0.3833568862033221,0.5823315697811795,0.7366219717921775,Long/Short,1,100
140,ABEV3,TAEE11,0.048363639569004975,90,1.3249856901600294,59,0.3411702094398317,0.4280636768306288,0.4093767185533016,Long/Short,2,"100,140"
120,ABEV3,TIMP3,0.030935084848503602,95,1.4336163809661868,74,0.5277098175744603,-0.09932399765683811,0.4305459187799655,Long/Short,2,"100,120"
120,ABEV3,UGPA3,0.031930357998444917,95,0.5165228202957043,54,0.33971804239818304,0.6650438064203342,0.4150604650917836,Long/Short,2,"100,120"
120,ABEV3,USIM5,0.021815773025108714,95,1.1459335204344634,23,0.390359307670381,0.8164919012523562,0.560988294826221,Long/Short,2,"100,120"
100,ABEV3,VVAR3,0.046253169322330326,95,0.374194421953175,87,0.5309529267768868,-0.029863891214352463,0.42052109658673636,Long/Short,1,100
100,ABEV3,WEGE3,0.018249573904796812,95,0.23858468927850576,24,0.5051945793050905,-0.6048987063743626,0.2358371256038396,Short/Long,1,100
250,AZUL4,BBAS3,0.001143491465791618,99,1.750822814736759,9,0.39976440972454264,0.9493600355177987,0.22275422091856006,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,AZUL4,BBDC3,0.003932954784379245,99,2.531166627609621,10,0.41390206926534007,0.9563308422425735,0.028184479746466724,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,AZUL4,BBDC4,0.006723034400340608,99,2.3250283740687374,12,0.4246601567065734,0.9390988867613754,0.030594529195028704,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,AZUL4,BBSE3,0.0003540898693617484,99,3.6552633297153756,6,0.23583190407001847,0.9603464962055137,0.8157832088532612,Long/Short,9,"100,120,140,160,180,200,220,240,250"
160,AZUL4,BRML3,0.01898340179461841,95,4.88983931387369,15,0.2634066057182543,0.9388658172353169,0.014256083759303366,Short/Long,4,"100,120,140,160"
220,AZUL4,CCRO3,0.006413301930779549,99,6.748488640103459,15,0.26920994655821806,0.8700538353930862,0.9790230085359118,Long/Short,4,"160,180,200,220"
250,AZUL4,CIEL3,0.016944868061887712,95,10.031743403578622,8,0.3761617746201814,0.9320723216788956,0.13332295475916475,Long/Short,3,"120,240,250"
120,AZUL4,CMIG4,0.0413526227799807,95,6.973995984104957,17,0.426556592117082,0.9153934482768107,0.4481008061873858,Long/Short,1,120
