Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,Std,HalfLife,SignalStr,Corr,PeriodQt,PeriodStr
140,ABEV3,AZUL4,-3.2328494036076267,95,0.11670063661178494,2.0538042335219013,6,Long/Short,0.666032545191574,1,140
120,ABEV3,B3SA3,-3.307296178378496,95,0.17081723905444196,0.34011653292904526,4,Long/Short,0.5493771455393159,3,"120,140,180"
100,ABEV3,BBAS3,-2.932430826264333,95,0.34869058722251933,1.3696658034858638,4,Long/Short,0.5409011129149087,9,"100,120,140,160,180,200,220,240,250"
120,ABEV3,BBDC3,-3.4274233291145255,95,0.4174872857633384,1.695315212154151,6,Long/Short,0.6056347396155417,6,"120,140,160,180,200,220"
120,ABEV3,BBDC4,-3.3440087663695466,95,0.36282461267239474,1.7374983559881432,6,Long/Short,0.6132874908503797,7,"120,140,160,180,200,220,250"
120,ABEV3,BBSE3,-3.151010873854942,95,0.3933678838822587,1.7157891549761715,5,Long/Short,0.45882178981484567,8,"120,140,160,180,200,220,240,250"
100,ABEV3,BPAC11,-3.0365282861465053,95,0.0978969228944595,0.05871824113766381,4,Long/Short,0.4386364795756815,9,"100,120,140,160,180,200,220,240,250"
140,ABEV3,BRAP4,-3.056460023716252,95,0.28275823597604127,0.958855165998201,7,Long/Short,0.48202625457104475,7,"140,160,180,200,220,240,250"
120,ABEV3,BRDT3,-2.965306668439837,95,0.30482179182635605,1.2856470490822203,7,Long/Short,0.6153351293136882,7,"120,140,180,200,220,240,250"
220,ABEV3,BRFS3,-2.985435180415271,95,0.34063725571866066,0.6094935449335116,9,Long/Short,0.5180770148715106,3,"220,240,250"
240,ABEV3,BRKM5,-2.908220763377662,95,0.31259011529564273,1.0410122401633188,10,Short/Long,0.5338569499286387,2,"240,250"
100,ABEV3,BRML3,-3.0859868384997817,95,0.7273732063991986,1.0976803518040206,6,Long/Short,0.44754343533131896,3,"100,120,140"
160,ABEV3,BTOW3,-3.369593070908274,95,0.1271014860312967,1.884630430446611,5,Short/Long,0.45774239659366933,5,"160,180,200,220,240"
100,ABEV3,CCRO3,-3.570738886213711,99,0.6824040701769776,1.7040408671134493,4,Long/Short,0.430776383072395,9,"100,120,140,160,180,200,220,240,250"
200,ABEV3,CIEL3,-2.8651649695959374,90,1.6161467919609123,0.5043229437613529,9,Long/Short,0.5340766008645984,4,"200,220,240,250"
120,ABEV3,CMIG4,-3.127051769829795,95,0.7832985332153383,1.434944962258251,5,Long/Short,0.6149640107590836,2,"120,140"
120,ABEV3,COGN3,-3.1644944749123707,95,0.6089500050397639,0.3024144517703585,4,Long/Short,0.6332794987253421,8,"120,140,160,180,200,220,240,250"
140,ABEV3,CSAN3,-3.2246702160465284,95,0.1265919819675214,0.16945154333425874,6,Long/Short,0.6709441227667367,5,"140,200,220,240,250"
140,ABEV3,CSNA3,-2.8762565675819145,90,0.5228188870708077,1.8015506314897352,7,Long/Short,0.5475981772925774,7,"140,160,180,200,220,240,250"
100,ABEV3,CVCB3,-3.0675227706890658,95,0.27792204533374454,0.8010541637774968,5,Long/Short,0.5019129134510256,7,"100,120,140,160,180,200,240"
100,ABEV3,CYRE3,-3.8891085558011995,99,0.30564086525834067,0.3208013227955673,4,Long/Short,0.5168484112518511,4,"100,120,140,200"
100,ABEV3,ECOR3,-3.0223204865023408,95,0.6211131181463196,1.0126106586857944,6,Long/Short,0.4739837584502761,7,"100,120,140,160,200,220,250"
100,ABEV3,EGIE3,-2.8637317077296434,90,0.44337664106755137,1.2420559450492723,5,Long/Short,0.40633103747720045,5,"100,120,140,160,180"
120,ABEV3,ELET3,-3.2943387123720744,95,0.20126921784901686,1.6987706589353373,5,Long/Short,0.5161769959661447,6,"120,140,160,180,200,220"
140,ABEV3,ELET6,-3.4760169685730196,95,0.26235512901905056,1.2854255740480853,5,Long/Short,0.6218931689908233,5,"140,160,180,200,220"
120,ABEV3,EMBR3,-2.946521521546489,95,0.43409559490799143,1.9683655326440916,6,Long/Short,0.44525369901269435,2,"120,140"
100,ABEV3,ENBR3,-3.149416091914284,95,0.8537058742568387,2.547197341228387,5,Long/Short,0.3718582223126186,4,"100,120,140,160"
120,ABEV3,EQTL3,-3.3068925475612483,95,0.43608227260439336,1.06976124092585,6,Long/Short,0.5896239021337525,2,"120,140"
120,ABEV3,FLRY3,-3.0473704865695557,95,0.2676354378002288,2.355014749079481,6,Long/Short,0.5769999368737517,2,"120,140"
140,ABEV3,GGBR4,-3.022388095852245,95,0.3829488461627153,1.7818048282177479,6,Long/Short,0.6122023833671261,5,"140,160,180,200,250"
200,ABEV3,GNDI3,-3.0188147304741824,95,0.18870005822376618,0.8250575710710538,8,Long/Short,0.5949605205016265,4,"200,220,240,250"
140,ABEV3,GOAU4,-3.0895459440398514,95,0.7905045530080512,1.7364827075066256,6,Long/Short,0.6327601573114822,4,"140,160,200,250"
100,ABEV3,GOLL4,-3.1570806150182436,95,0.29593156770682216,1.42764122682058,4,Long/Short,0.4874157286464927,9,"100,120,140,160,180,200,220,240,250"
100,ABEV3,HAPV3,-3.283728109867448,95,0.22422755192555618,2.2851447561556086,4,Long/Short,0.28886423214674933,8,"100,140,160,180,200,220,240,250"
140,ABEV3,HGTX3,-2.939056585174387,95,0.3422047673413299,2.764922562860579,8,Long/Short,0.640912307870822,7,"140,160,180,200,220,240,250"
120,ABEV3,HYPE3,-3.2876562181018887,95,0.28696644885054157,1.5666704553415003,4,Long/Short,0.4967870749300877,2,"120,140"
120,ABEV3,IGTA3,-3.1187162597376674,95,0.20029285951335724,1.7195065933660945,6,Long/Short,0.604270169447915,2,"120,140"
140,ABEV3,IRBR3,-3.33114970988055,95,0.1948961087436148,1.2451017729089402,5,Long/Short,0.38791269079614826,7,"140,160,180,200,220,240,250"
120,ABEV3,ITSA4,-3.4104545894505938,95,1.1589815549979863,0.8855619597715126,5,Long/Short,0.615626157354321,7,"120,140,180,200,220,240,250"
100,ABEV3,ITUB4,-4.268187090383615,99,0.4740999376428612,0.8109872575913004,2,Long/Short,0.5643036319714134,9,"100,120,140,160,180,200,220,240,250"
100,ABEV3,KLBN11,-3.0895668556774165,95,-0.4106351986403015,1.7346893635666423,4,Long/Short,0.002254870861756832,2,"100,120"
140,ABEV3,LAME4,-3.306770575335146,95,0.3641332619912337,0.9301722863129447,6,Short/Long,0.6568527861876211,7,"140,160,180,200,220,240,250"
140,ABEV3,LREN3,-3.1729058817137226,95,0.20310677929251375,2.185011739622206,6,Long/Short,0.6418877534187865,4,"140,200,220,250"
140,ABEV3,MGLU3,-3.544359517908127,99,0.14829625369381494,1.3857364155685008,5,Long/Short,0.5589308745324787,6,"140,160,180,200,220,240"
120,ABEV3,MRFG3,-3.0759229091422564,95,-0.29480496401923,1.5855960913121963,5,Long/Short,0.263067167184119,1,120
100,ABEV3,MRVE3,-3.4737167136286007,95,0.5449572157414542,0.4294675459822608,4,Long/Short,0.5120434418855724,9,"100,120,140,160,180,200,220,240,250"
120,ABEV3,MULT3,-2.8665088665637097,90,0.24535695596979903,1.597978732364945,8,Long/Short,0.5933523889977493,2,"120,140"
100,ABEV3,PETR3,-3.052387138361204,95,0.6301164437325852,0.638637460391711,4,Long/Short,0.48849444334832004,6,"100,140,180,220,240,250"
100,ABEV3,PETR4,-3.455529021396119,95,0.7248969641101295,0.6126498367690995,3,Long/Short,0.5135348603422067,7,"100,140,180,200,220,240,250"
120,ABEV3,QUAL3,-2.8799579433297744,90,0.18126372286669262,2.236174767136974,6,Long/Short,0.5713031884019693,3,"120,140,160"
140,ABEV3,RADL3,-3.127884608178536,95,0.17310540004362618,0.8880559451256377,5,Long/Short,0.6158949063384755,1,140
160,ABEV3,RAIL3,-2.905736104138507,95,0.7641368113540119,0.6195691470776233,7,Short/Long,0.6813438478675415,6,"160,180,200,220,240,250"
140,ABEV3,RENT3,-2.8914563696767823,95,0.14812170386215295,1.5966777401814591,6,Long/Short,0.6279420818305967,2,"140,240"
120,ABEV3,SANB11,-3.3082896928412304,95,0.28354547480958536,1.568904037260519,6,Long/Short,0.6102402788151461,8,"120,140,160,180,200,220,240,250"
100,ABEV3,SBSP3,-4.179190845085273,99,0.13881948676145273,0.2634947868477073,3,Short/Long,0.5004708152493165,9,"100,120,140,160,180,200,220,240,250"
100,ABEV3,SUZB3,-3.653062146142585,99,-0.16989366798590422,1.832628928800821,3,Long/Short,-0.0747453929542896,2,"100,120"
100,ABEV3,TIMP3,-2.9180613040290497,95,0.9055512073327088,1.2606189993120338,4,Long/Short,0.34362913792230554,3,"100,120,140"
140,ABEV3,UGPA3,-3.6938293656315766,99,0.42065659483488593,1.8430673268004705,5,Long/Short,0.7107703231555016,7,"140,160,180,200,220,240,250"
140,ABEV3,USIM5,-3.1075272364357875,95,0.6428268964070425,2.410667770730023,6,Long/Short,0.5610161133913951,6,"140,180,200,220,240,250"
100,ABEV3,VALE3,-3.0091243275183404,95,0.2867291356436691,0.48988436522777074,4,Long/Short,0.17806673514222424,9,"100,120,140,160,180,200,220,240,250"
140,ABEV3,VIVT4,-3.2719105050249424,95,0.39295380050727496,0.5408815040698572,6,Long/Short,0.5603144762436034,2,"140,160"
100,ABEV3,VVAR3,-3.0782874611157625,95,0.4822242985764178,0.8571537600567238,4,Long/Short,0.25062093759695975,9,"100,120,140,160,180,200,220,240,250"
120,AZUL4,B3SA3,-2.9050447821688468,95,0.3527285554863106,1.1259458595363627,5,Short/Long,0.6191254759272568,2,"120,160"
100,AZUL4,BBAS3,-3.162466371886202,95,0.8926301186667779,0.6934725269507901,4,Short/Long,0.624595813874314,9,"100,120,140,160,180,200,220,240,250"
100,AZUL4,BBDC3,-3.048504635789234,95,1.4625785788357777,0.7854348260537415,4,Short/Long,0.6386989798212067,9,"100,120,140,160,180,200,220,240,250"
100,AZUL4,BBDC4,-3.0581155141416874,95,1.3187792684928605,0.867431127786678,4,Short/Long,0.6406889043533843,9,"100,120,140,160,180,200,220,240,250"
100,AZUL4,BBSE3,-3.369067899547313,95,1.4490881402628917,0.21712490882768612,3,Short/Long,0.51602404073799,9,"100,120,140,160,180,200,220,240,250"
120,AZUL4,BPAC11,-3.161418346018021,95,0.212492582854793,1.3154991786279373,4,Short/Long,0.5818369194760966,3,"120,140,160"
140,AZUL4,BRAP4,-3.6171654689156374,99,2.5602311508125974,0.972393013213581,4,Short/Long,0.5301773452889875,5,"140,160,180,200,220"
160,AZUL4,BRDT3,-3.0618257877714377,95,3.0761047002866793,1.5583150248556956,7,Short/Long,0.6991277339086839,5,"160,180,200,220,240"
220,AZUL4,BRKM5,-2.8646212406951106,90,1.9862244442124686,2.11622032371891,12,Short/Long,0.623676422177522,1,220
100,AZUL4,BRML3,-2.8731375705052944,90,2.0923771857006286,0.7880904189790077,4,Short/Long,0.6036751361966103,9,"100,120,140,160,180,200,220,240,250"
160,AZUL4,BTOW3,-2.9178451827110337,95,0.7353798944428214,2.609822913240184,10,Short/Long,0.4632296590852326,1,160
100,AZUL4,CCRO3,-3.0363851408734917,95,1.2870019503719579,0.0717061793147016,5,Short/Long,0.4544340667488537,7,"100,160,180,200,220,240,250"
100,AZUL4,CIEL3,-3.406777351561787,95,3.2635893731582377,0.6314798807032017,4,Short/Long,0.34890719085155647,5,"100,120,160,220,250"
100,AZUL4,CMIG4,-3.0942968746114885,95,2.1769122601348245,0.5412026133888515,4,Short/Long,0.5303179917193724,7,"100,120,140,160,180,200,220"
160,AZUL4,COGN3,-2.9756982974513733,95,5.001532548614428,2.610525238087224,8,Short/Long,0.7085250598839807,4,"160,180,200,220"
180,AZUL4,CPFE3,-2.8632524135074564,90,3.476966546034663,2.1132356459853634,9,Short/Long,0.6093743826304777,4,"180,200,220,240"
140,AZUL4,CSAN3,-3.9946268428197396,99,1.037136168910159,3.0765205978290586,4,Short/Long,0.7478038360605573,7,"140,160,180,200,220,240,250"
120,AZUL4,CSNA3,-3.0924679761834235,95,2.067706437574552,0.5058241093069983,5,Long/Short,0.5100730145938741,3,"120,140,160"
100,AZUL4,CVCB3,-3.650881025925043,99,0.797468716139215,1.6922971522560606,3,Short/Long,0.7039747213676648,2,"100,140"
100,AZUL4,CYRE3,-3.0235413792529546,95,0.6041688407558786,1.031401595618969,5,Short/Long,0.5918157447286039,7,"100,120,160,180,200,220,240"
100,AZUL4,ECOR3,-2.944793485231878,95,1.3210525891030342,0.5408046553542946,5,Short/Long,0.49595663207899326,9,"100,120,140,160,180,200,220,240,250"
100,AZUL4,EGIE3,-3.0722105995373368,95,1.0735780151262753,0.3767257657136664,4,Short/Long,0.3678762232268526,9,"100,120,140,160,180,200,220,240,250"
120,AZUL4,ELET3,-3.0207003255761333,95,0.47858320433210016,0.25545352079497335,5,Short/Long,0.5502576708582811,4,"120,140,160,180"
160,AZUL4,ELET6,-3.1845884380762373,95,2.061972845319524,1.0882563743124476,6,Short/Long,0.6736431920451665,2,"160,180"
