Data,AALR3,AAPL34,ABCB4,ABEV3,AGRO3,ALPA4,ALUP11,AMAR3,ANIM3,APER3,ARZZ3,ATOM3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BBSE3,BEEF3,BEES3,BIDI4,BKBR3,BMEB4,BOBR4,BPAC11,BPAN4,BRAP3,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CAML3,CARD3,CCRO3,CESP3,CESP6,CGRA4,CIEL3,CMIG3,CMIG4,CPFE3,CPLE3,CPLE6,CRFB3,CRPG5,CSAN3,CSMG3,CSNA3,CTNM4,CVCB3,CYRE3,DIRR3,DMMO3,DTEX3,EALT4,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENEV3,ENGI11,ENGI3,ENGI4,EQTL3,EUCA4,EVEN3,EZTC3,FESA4,FLRY3,FRAS3,GBIO33,GFSA3,GGBR3,GGBR4,GNDI3,GOAU3,GOAU4,GOLL4,GRND3,GUAR3,HAPV3,HBOR3,HGTX3,HYPE3,IDNT3,IGTA3,IRBR3,ITSA3,ITSA4,ITUB3,ITUB4,JBSS3,JHSF3,JPSA3,JSLG3,KEPL3,KLBN11,KLBN3,KLBN4,LAME3,LAME4,LCAM3,LEVE3,LIGT3,LINX3,LLIS3,LOGG3,LOGN3,LPSB3,LREN3,MDIA3,MEAL3,MGLU3,MILS3,MOVI3,MRFG3,MRVE3,MTSA4,MULT3,MYPK3,ODPV3,OFSA3,OMGE3,PARD3,PETR3,PETR4,PFRM3,PINE4,PMAM3,POMO3,POMO4,POSI3,PPLA11,PRIO3,PSSA3,PTBL3,QUAL3,RADL3,RAIL3,RAPT4,RCSL4,RENT3,RLOG3,ROMI3,RSID3,SANB11,SANB3,SANB4,SAPR11,SAPR3,SAPR4,SBSP3,SCAR3,SEER3,SGPS3,SHOW3,SHUL4,SLCE3,SMLS3,SMTO3,STBP3,SULA11,SUZB3,TAEE11,TAEE3,TAEE4,TCSA3,TECN3,TEND3,TESA3,TGMA3,TIET11,TIET3,TIET4,TIMP3,TOTS3,TRIS3,TRPL4,TUPY3,UCAS3,UGPA3,UNIP3,UNIP6,USIM3,USIM5,VALE3,VIVT3,VIVT4,VLID3,VULC3,VVAR3,WEGE3,WIZS3,WSON33
02/01/2019,13.25,60.41,17.12,16.15,15.95,17.5,18.67,5.54,18.01,18.0,55.31,2.49,36.33,27.79,48.6,35.77,40.39,6.86,28.32,5.08,4.15,39.46,20.65,7.25,2.74,24.9,2.0,28.6,31.09,26.0,22.38,48.31,13.46,8.2,22.89,43.0,7.3,7.0,12.0,20.68,21.93,23.56,9.63,15.6,14.3,28.94,30.0,30.85,18.95,34.94,35.7,63.8,9.21,8.14,61.1,15.87,8.18,0.98,12.12,4.4,9.72,34.14,29.25,32.26,21.54,14.18,16.71,38.0,8.6,7.36,74.91,4.19,6.11,25.78,20.68,20.15,4.82,8.52,16.95,12.42,15.2,29.56,7.48,7.16,25.45,8.3,165.34,31.1,1.6,30.21,31.15,5.68,42.43,83.3,13.72,12.65,31.96,37.0,12.04,2.0,23.59,7.28,15.2,16.31,4.6,2.93,15.03,19.72,38.77,25.99,16.61,34.51,28.11,16.85,8.13,6.31,43.55,44.96,6.96,185.99,4.25,9.05,5.65,12.64,15.05,24.92,24.26,14.0,33.99,18.24,19.66,26.65,24.06,4.0,2.25,1.41,3.29,4.24,2.4,1.49,103.56,52.01,5.4,13.64,56.7,16.95,9.46,1.45,30.87,13.17,8.61,5.35,45.74,23.9,21.74,60.85,17.12,10.95,34.37,34.29,16.1,8.1,7.23,7.11,44.43,43.5,18.5,4.25,28.1,38.6,24.21,8.95,7.61,1.51,2.62,32.37,12.46,28.19,10.11,2.05,2.01,12.15,28.65,4.3,70.0,20.51,2.89,54.34,37.6,37.75,11.85,9.76,51.09,41.91,47.18,18.51,7.32,4.38,17.98,7.2,39.61
03/01/2019,13.3,53.8,17.1,16.33,16.25,17.53,18.7,5.61,18.8,18.73,55.58,2.59,36.37,29.0,48.8,36.5,40.78,6.69,28.63,5.2,4.19,38.32,21.21,7.14,2.82,25.93,1.94,27.46,29.9,26.6,21.49,48.6,13.55,8.2,22.69,43.44,7.59,7.2,12.39,20.39,22.43,23.92,9.4,15.27,14.0,28.59,30.2,31.2,19.76,34.32,36.24,64.9,9.32,8.6,60.71,16.13,8.17,0.96,12.11,4.38,9.92,35.26,31.0,34.2,21.9,14.77,16.8,38.2,8.45,7.42,77.0,4.23,6.26,25.86,20.84,20.45,4.77,8.39,16.94,12.15,15.1,29.5,7.54,7.19,25.63,8.26,159.0,30.39,1.56,30.62,31.6,5.68,42.82,82.32,14.0,12.76,32.25,37.61,12.23,1.98,23.5,7.51,15.2,16.73,4.5,2.99,15.0,19.66,38.4,25.81,17.33,34.31,28.9,16.6,8.31,6.4,43.0,46.14,6.9,184.0,4.26,9.3,5.69,12.63,15.0,25.1,24.2,14.2,34.0,18.4,19.7,27.2,24.65,4.0,2.38,1.39,3.28,4.25,2.43,1.49,103.79,50.36,5.45,13.72,56.57,17.44,9.46,1.58,30.36,13.35,8.65,5.79,47.25,24.71,22.17,65.0,17.8,11.74,37.02,34.0,16.45,9.05,7.35,7.15,42.5,44.0,18.14,4.37,27.35,36.95,24.28,9.05,7.69,1.54,2.77,32.39,12.61,28.45,10.4,2.1,2.08,11.92,29.31,4.33,71.0,20.31,2.88,53.33,37.55,37.3,11.86,9.55,49.0,41.4,47.6,17.74,7.4,4.31,18.39,7.25,39.02
04/01/2019,13.44,54.66,16.95,16.55,16.3,17.4,18.27,5.67,18.75,18.18,53.33,2.54,36.25,27.95,48.8,35.7,40.46,6.76,28.35,5.4,4.36,37.85,21.15,7.14,2.79,26.85,1.97,28.95,31.92,26.7,21.45,48.06,13.29,8.2,22.5,42.0,7.63,7.25,12.25,20.69,22.2,23.93,10.15,15.63,13.86,28.65,29.28,30.17,19.2,34.69,36.03,65.4,9.75,8.99,59.95,15.99,8.14,0.97,12.1,4.43,9.96,35.52,30.53,33.96,20.8,14.88,16.95,38.5,8.77,7.32,78.0,4.5,6.19,25.76,21.02,20.85,4.72,8.17,16.86,12.38,15.5,29.51,7.74,7.37,25.0,8.09,156.33,30.5,1.58,29.43,31.45,5.45,41.75,81.4,14.07,12.72,31.71,36.98,12.55,1.94,23.29,7.54,15.2,17.0,4.64,3.01,14.71,19.41,38.2,25.85,17.47,34.2,29.02,16.09,8.38,6.07,41.35,46.09,6.95,178.4,4.31,9.08,5.68,12.45,15.49,24.59,24.08,14.4,33.23,18.68,19.87,27.51,24.72,4.0,2.3,1.39,3.43,4.3,2.41,1.5,104.66,48.22,5.35,13.48,57.38,17.2,9.5,1.57,30.05,13.33,8.55,5.81,47.2,24.84,22.8,64.79,16.49,12.69,37.86,34.31,16.25,8.8,7.41,7.25,42.78,43.96,17.92,4.28,26.12,37.57,25.24,9.23,7.96,1.57,2.99,33.16,12.5,28.7,10.42,2.07,2.06,11.98,30.12,4.32,73.6,20.32,2.87,52.97,37.46,37.29,12.26,10.11,52.19,41.09,47.5,17.36,7.27,4.27,18.6,7.15,38.65
07/01/2019,13.34,54.55,17.0,16.48,16.3,17.36,18.17,5.7,18.89,18.25,52.53,2.57,35.3,27.8,48.48,36.0,40.94,6.41,27.93,5.37,4.41,38.0,21.0,7.25,2.86,27.4,1.95,29.2,32.17,26.85,21.59,47.72,13.21,8.18,22.3,40.14,7.73,7.29,11.9,20.5,22.0,24.2,10.06,15.1,13.45,28.28,29.58,30.49,18.85,33.85,35.5,63.43,9.77,8.99,60.7,15.9,8.2,0.98,12.1,4.64,9.84,35.3,29.0,32.5,21.23,14.45,16.98,38.0,9.1,7.19,78.5,4.47,6.22,25.23,21.46,21.15,4.8,8.18,16.7,12.47,15.54,29.1,7.83,7.42,23.9,8.1,160.52,30.96,1.55,28.45,30.95,4.86,41.1,82.22,13.88,12.71,32.12,37.05,12.11,1.99,23.63,7.32,15.08,17.0,4.87,3.01,15.03,19.98,36.68,25.82,17.29,33.0,29.01,15.62,8.25,6.0,40.4,46.6,6.91,181.17,4.49,9.09,5.58,12.56,15.05,24.24,24.3,14.22,32.76,18.76,19.9,28.4,25.11,4.01,2.39,1.41,3.46,4.29,2.32,1.5,104.57,49.19,5.44,13.08,56.1,16.9,9.62,1.65,29.49,13.21,8.52,5.57,47.99,24.56,23.16,63.76,15.23,12.12,37.0,33.5,16.1,8.52,7.37,7.27,42.43,42.26,17.86,4.23,26.54,35.85,24.95,9.18,7.8,1.61,2.9,34.26,12.65,28.44,10.31,2.13,2.06,12.37,29.47,4.38,73.0,20.49,2.99,51.35,37.4,37.2,12.22,10.13,51.91,41.2,47.9,17.17,7.26,4.24,18.31,7.09,38.77
08/01/2019,13.19,56.19,17.32,16.15,16.26,17.7,18.36,5.54,19.49,17.71,54.05,2.55,34.72,27.88,47.93,36.4,41.19,6.22,27.52,5.31,4.39,39.81,21.05,7.31,2.82,26.21,1.95,29.28,31.94,25.95,22.93,47.69,13.23,8.09,22.8,42.0,7.56,7.28,12.24,20.6,21.9,24.0,9.72,15.09,13.38,28.3,29.8,31.0,18.66,34.14,35.89,64.03,9.8,8.65,58.71,15.79,8.14,0.91,11.96,4.74,9.82,35.7,30.48,33.59,21.36,14.5,16.99,37.8,9.17,7.25,78.7,4.35,6.17,24.86,21.91,21.4,4.8,7.94,16.57,12.41,15.56,29.5,7.76,7.37,23.59,8.18,158.56,30.5,1.55,28.39,30.9,4.3,40.55,83.0,13.94,12.88,32.2,37.52,12.3,1.98,23.57,7.04,14.85,17.07,4.72,3.03,15.0,20.01,35.45,26.15,17.31,31.46,28.3,15.87,7.95,5.92,41.7,46.35,7.0,179.71,4.42,8.97,5.56,13.05,15.35,24.07,23.84,13.68,32.81,18.9,19.32,28.25,24.96,3.97,2.4,1.4,3.28,4.19,2.27,1.5,107.07,50.4,5.47,13.3,58.15,17.12,9.45,1.6,29.51,13.26,8.45,5.49,46.36,23.58,22.0,63.5,14.71,12.15,37.14,33.43,16.41,8.59,7.35,7.22,41.51,41.87,17.81,4.22,27.15,36.2,24.8,9.05,7.9,1.6,2.96,34.78,12.79,28.21,10.45,2.12,2.06,12.84,28.27,4.44,72.79,20.7,2.99,50.5,38.49,38.25,12.15,9.77,52.41,40.3,48.01,18.02,7.37,4.04,18.16,7.15,38.6
09/01/2019,13.14,56.61,17.59,16.38,16.2,18.94,18.75,5.64,19.02,17.71,55.28,2.58,35.15,28.01,47.8,37.16,41.9,6.37,26.65,5.4,4.41,39.95,21.0,7.3,2.89,26.25,1.96,29.69,32.8,26.01,23.55,48.01,13.44,8.22,23.26,44.78,7.56,7.27,12.7,20.59,21.8,24.34,10.13,15.21,13.59,28.6,30.03,31.51,19.11,34.0,38.82,63.53,9.88,8.6,59.07,15.85,8.22,0.88,12.12,5.39,10.01,36.65,30.6,33.93,21.28,14.59,17.08,37.95,9.55,7.07,79.95,4.38,6.25,24.9,22.0,21.08,4.76,8.0,16.36,12.65,16.0,30.93,7.82,7.55,23.48,8.37,161.84,31.0,1.56,29.4,30.6,3.82,41.12,82.78,14.21,13.05,32.5,38.09,12.2,1.91,23.47,7.37,14.85,17.41,4.95,3.14,15.62,20.8,36.0,26.4,17.71,32.3,28.5,16.24,7.64,5.95,42.6,46.5,7.0,179.11,4.44,9.17,5.59,13.59,15.44,24.37,23.55,14.11,32.0,18.9,19.44,28.82,25.48,4.02,2.42,1.4,3.28,4.23,2.28,1.54,108.35,50.2,5.48,13.64,61.11,17.2,9.62,1.63,30.2,13.35,8.42,5.6,47.0,24.57,22.5,64.62,15.79,12.18,37.6,33.9,16.87,8.8,7.26,7.19,40.54,41.6,18.23,4.23,27.41,38.37,24.8,9.18,7.9,1.62,3.01,34.45,12.76,28.29,10.65,2.13,2.09,12.99,29.36,4.57,73.07,20.98,2.86,52.12,37.77,37.92,12.34,10.09,53.69,40.72,48.74,18.24,7.68,4.01,18.36,7.35,38.76
10/01/2019,13.35,56.53,17.72,16.85,16.15,19.0,19.12,5.87,19.32,17.62,55.1,2.49,35.91,28.27,48.5,37.27,41.77,6.54,27.4,5.44,4.44,39.3,21.0,7.43,2.96,25.93,2.04,29.97,32.7,25.75,23.45,47.51,13.34,8.39,23.27,46.5,7.55,7.19,12.91,20.4,21.7,24.61,11.09,15.64,13.83,28.5,30.11,31.36,19.28,33.98,39.74,63.4,9.98,8.95,60.0,16.1,8.3,0.89,12.0,5.38,10.2,36.22,31.0,34.37,20.99,14.73,17.29,38.77,10.2,7.1,80.99,4.36,6.36,25.51,22.31,21.48,4.73,8.0,16.17,12.48,15.59,31.8,7.85,7.52,23.25,8.65,164.19,31.69,1.58,29.15,30.9,2.9,40.76,81.08,14.3,12.96,32.5,37.83,12.16,1.93,23.5,7.78,14.7,17.39,4.99,3.11,15.45,20.78,36.0,26.53,18.24,31.3,29.0,17.49,7.81,6.04,42.66,46.8,6.9,180.85,4.42,9.12,5.51,13.46,15.44,24.17,23.65,14.34,31.0,19.0,19.4,28.68,25.26,4.19,2.45,1.38,3.26,4.2,2.25,1.59,108.96,51.05,5.46,13.68,63.52,17.47,9.5,1.58,30.05,13.5,8.36,5.69,47.49,24.4,22.6,65.4,16.36,12.08,37.83,33.79,17.03,9.05,7.39,7.34,40.88,42.9,18.21,4.33,27.9,38.86,25.0,9.21,7.9,1.62,3.0,33.75,12.84,28.3,10.79,2.16,2.17,12.5,29.9,4.53,73.95,20.65,2.78,53.47,37.69,37.67,12.34,10.33,53.1,40.0,48.45,18.0,8.17,4.42,18.5,7.68,38.95
11/01/2019,13.14,56.26,18.08,17.29,16.01,18.99,19.14,5.85,18.81,17.71,53.21,2.51,37.2,28.87,48.7,37.12,41.5,6.33,27.75,5.4,4.47,39.0,20.85,7.3,2.85,25.9,2.05,29.88,32.59,25.8,22.95,48.18,13.23,8.35,23.33,45.08,7.55,7.18,13.4,20.2,21.75,25.25,10.71,15.83,13.86,28.3,30.76,33.01,19.3,34.5,38.95,63.03,9.86,9.38,59.0,16.55,8.44,0.86,12.02,5.42,10.45,36.82,30.96,34.3,21.53,14.79,17.37,38.5,10.8,6.79,81.33,4.22,6.22,25.62,22.14,21.35,4.73,8.05,16.4,12.15,15.22,31.85,7.84,7.34,24.96,8.6,163.07,31.34,1.58,28.91,32.98,3.02,40.08,79.45,14.32,12.8,32.13,37.6,12.48,1.95,23.48,7.79,14.4,17.16,5.02,3.08,15.34,20.5,36.18,27.17,18.5,29.8,29.51,19.6,7.72,5.81,41.71,47.68,7.0,177.6,4.39,9.33,5.55,13.34,15.49,23.69,23.43,14.58,32.17,18.9,19.46,28.5,24.99,4.15,2.48,1.38,3.19,4.09,2.34,1.55,110.29,53.81,5.41,14.2,64.0,17.42,9.72,1.61,29.48,13.39,8.48,5.59,47.39,24.75,22.51,68.0,18.29,12.33,39.49,33.16,17.28,8.81,7.6,7.28,42.28,43.0,18.28,4.33,28.92,38.86,25.49,9.6,7.95,1.58,2.94,33.85,12.7,28.3,10.72,2.16,2.13,12.46,30.19,4.51,75.01,20.72,2.85,53.19,37.5,37.45,12.21,10.18,52.38,40.45,47.8,18.07,8.35,4.51,18.69,7.8,40.23
14/01/2019,13.15,55.26,18.15,17.54,16.09,19.0,19.25,5.7,18.82,18.0,52.05,2.67,37.47,29.51,49.83,37.16,41.99,6.44,28.0,5.44,4.47,40.6,21.9,7.48,2.91,25.64,2.03,29.85,32.71,26.3,22.67,48.28,13.3,8.61,23.75,45.6,7.35,7.28,14.0,19.98,21.56,26.0,10.9,16.35,13.94,28.11,31.65,34.2,19.57,34.97,39.2,64.95,9.77,9.84,59.01,16.85,8.5,0.85,12.74,5.42,10.71,37.31,30.94,34.09,21.62,14.96,17.55,39.2,11.0,7.1,83.21,4.21,6.37,25.59,22.18,22.2,4.79,7.99,16.29,12.29,15.2,32.46,7.84,7.34,25.16,8.51,160.63,32.11,1.69,28.8,33.01,2.98,39.5,79.1,14.27,12.99,32.5,37.88,12.69,1.94,22.38,8.03,14.4,17.82,5.36,3.13,15.2,20.49,36.27,26.37,18.9,29.41,29.1,20.4,7.78,5.97,40.95,47.91,6.86,179.0,4.54,9.4,5.72,13.88,16.1,23.71,23.11,14.79,32.9,18.9,19.9,28.4,24.85,4.13,2.49,1.39,3.28,4.18,2.33,1.55,109.49,54.85,5.42,14.8,63.77,18.0,9.43,1.59,29.37,13.56,8.58,5.46,48.1,25.57,22.86,72.0,18.95,13.2,41.6,33.48,17.84,9.0,7.51,7.28,44.35,43.9,18.89,4.4,28.92,39.0,25.4,9.4,8.1,1.59,3.1,34.39,13.63,28.5,10.8,2.16,2.15,12.46,31.07,4.47,74.57,20.16,2.95,53.57,37.2,37.31,11.98,9.87,52.6,40.1,48.21,18.21,8.41,4.82,18.9,7.98,39.5
15/01/2019,13.27,56.61,18.07,17.7,16.23,18.95,19.03,5.5,18.55,17.79,52.1,2.66,37.0,29.22,49.25,37.3,41.91,6.25,28.13,5.46,4.55,39.81,22.2,7.4,2.77,25.6,2.02,29.28,32.41,26.07,22.43,48.33,13.28,8.5,23.7,46.25,7.19,7.18,13.46,19.99,21.36,25.83,10.5,16.2,13.83,27.99,31.4,33.42,19.7,35.71,39.61,65.94,9.62,9.7,59.46,16.5,8.5,0.83,12.36,5.42,10.54,37.16,30.08,32.86,21.76,15.3,17.6,39.15,11.22,6.96,83.56,4.27,6.21,25.5,22.4,21.71,4.78,7.86,16.21,12.05,14.9,33.32,7.62,7.2,24.37,8.6,161.31,31.7,1.65,27.95,33.01,4.03,40.5,80.0,14.2,12.91,32.06,37.29,12.62,1.9,23.0,8.3,14.45,18.34,5.65,3.16,15.2,20.35,35.95,26.33,18.84,30.75,30.0,19.9,7.98,6.05,40.8,46.7,6.9,176.97,4.9,9.2,5.72,13.8,16.15,24.15,22.55,14.75,33.0,18.9,19.26,28.31,24.83,4.27,2.5,1.4,3.32,4.18,2.32,1.62,110.0,54.1,5.73,14.65,64.72,17.85,9.23,1.58,28.83,13.4,8.57,5.36,47.0,24.37,22.33,72.99,18.63,13.44,41.6,33.99,18.27,8.94,7.35,7.2,46.7,43.75,18.98,4.4,29.85,42.3,25.15,9.41,7.89,1.52,2.97,34.0,14.13,27.7,10.7,2.17,2.15,12.48,32.02,4.45,72.65,20.08,2.97,53.1,37.2,37.27,12.02,9.74,52.35,40.36,47.6,19.15,8.39,4.98,18.53,8.34,38.6
