Data,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMP3,TOTS3,UGPA3,USIM5,VALE3,VIVT4,VVAR3,WEGE3,YDUQ3
28/03/2019,16.75,37.25,32.07,48.02,30.8333,35.1833,26.3,6.8732,34.19,30.58,24.14,22.6,51.4,12.45,40.9796,11.79,9.57,13.62,10.91,30.75,20.01,42.15,15.68,54.5,16.04,9.72,42.66,35.8764,37.25,18.53,17.31,40.77,15.8,20.1,14.88,32.4,7.05,25.61,30.55,29.38,25.9,38.9,29.6667,12.05,34.1,15.47,17.25,16.1148,38.4545,21.3487,5.98,13.76,23.54,27.84,82.9968,30.96,28.06,15.34,65.0,18.64,30.8476,43.23,41.0,29.0,46.4,24.72,11.77,39.3253,23.7,9.68,49.3,47.21,4.18,18.05,27.21
29/03/2019,16.83,38.27,32.12,48.72,31.5417,35.7833,26.52,6.9126,35.87,31.9,23.15,22.65,50.9,12.57,41.7308,11.74,9.49,13.9,10.6,30.48,20.09,42.65,16.25,54.75,16.27,9.59,42.71,36.6761,37.86,18.45,16.98,40.28,16.0,20.4,15.14,32.8,7.11,25.9,30.76,29.89,25.9,38.92,30.4167,11.98,34.43,15.92,16.99,16.7128,39.8182,21.6063,5.98,13.99,23.39,25.2,83.48100000000002,31.15,28.06,15.68,65.3,19.15,31.4857,43.71,42.0,29.8,46.55,24.84,11.79,39.3253,23.5,10.04,50.93,47.5,4.22,18.0,26.6
01/04/2019,16.82,38.94,32.58,49.2,31.6,36.07,26.38,6.9716,36.22,32.99,23.45,23.0,51.73,12.46,41.5134,11.74,9.61,13.89,10.35,29.7,20.1,43.61,16.92,54.32,16.12,9.4,43.33,37.2359,38.85,18.7,17.52,40.48,16.0,20.55,16.08,33.4,7.55,25.65,30.84,30.35,26.29,38.55,30.6667,11.98,34.16,16.23,17.44,16.952,39.8091,21.4112,6.05,14.15,23.21,25.89,83.0849,30.87,28.0,15.59,64.59,18.73,31.4667,44.59,42.16,30.55,47.87,24.88,11.8,39.1756,23.55,10.22,52.6,47.62,4.27,18.07,26.7
02/04/2019,16.77,38.8,32.66,48.77,31.3,35.59,27.25,7.0994,36.2,32.1,23.48,22.95,49.7,12.64,40.8116,11.83,9.14,13.65,10.34,29.5,20.13,43.03,16.88,54.05,16.05,9.17,42.5,35.7664,37.35,18.61,17.3,40.7,16.064,21.0,16.08,33.0,7.49,25.32,31.11,30.22,26.12,38.75,30.7333,11.87,33.62,15.86,17.72,16.7227,39.3364,20.7687,5.91,13.96,23.37,25.17,83.2268,31.0,28.29,15.72,65.68,19.16,31.5714,43.99,40.41,30.47,48.05,24.8,11.67,38.926,23.245,9.7,51.63,47.07,4.55,18.25,27.19
03/04/2019,16.84,38.96,31.56,48.25,30.9,35.19,27.79,6.9814,36.82,32.25,23.9,23.0,48.7,12.26,40.3767,11.68,8.84,13.69,10.24,29.2,20.15,44.11,17.13,52.8,15.73,9.0,43.34,35.4465,36.9,18.46,17.18,40.66,15.904000000000002,21.39,16.0,33.9,7.48,25.4,30.16,29.83,26.04,38.7,31.1667,11.75,33.32,15.6,17.42,16.4537,39.2727,21.1338,5.9,13.74,23.33,21.25,83.4855,30.35,27.54,15.46,65.5,18.84,30.419,43.72,40.81,30.45,46.9,24.67,11.77,40.1337,22.9,9.69,51.78,47.51,4.38,18.47,27.13
04/04/2019,17.32,38.79,32.74,48.83,31.4,36.1,28.0,7.0404,38.5,32.81,24.8,23.56,48.85,12.5,40.604,12.32,9.4,13.98,10.86,28.99,20.24,43.94,16.98,52.6,16.17,9.34,43.84,36.1463,37.84,18.8,17.55,40.06,16.22,22.6,16.2,34.05,7.65,25.7,29.3,29.63,26.17,39.08,30.6767,11.8,33.82,15.78,16.86,16.653,40.0,21.125,6.28,13.95,23.66,24.9,83.2927,31.35,28.47,15.7,67.35,18.89,30.381,44.79,41.28,30.09,45.44,24.77,12.3,42.1499,23.6,9.68,52.16,48.87,4.38,18.81,28.22
05/04/2019,17.44,37.45,32.9,49.11,31.57,36.4,28.31,7.355,37.85,32.31,24.51,23.82,48.73,12.53,40.7226,12.32,9.3,14.05,10.65,29.44,20.0,46.0,16.81,53.12,16.38,9.27,44.01,35.7364,37.51,19.38,17.69,40.72,16.56,22.64,15.77,34.0,7.51,25.38,28.75,29.44,26.5,39.0,31.6933,12.07,34.55,16.6,16.95,16.643,40.0,21.2488,6.66,14.27,23.83,28.9,83.1223,32.05,28.78,15.97,68.85,18.5,30.3619,45.74,40.42,31.21,45.2,25.45,12.45,41.5211,23.5,9.64,51.98,49.63,4.53,19.07,28.57
08/04/2019,17.35,35.81,33.0,49.19,31.68,36.45,28.25,7.3452,37.98,33.24,23.9,24.08,48.54,12.23,38.6964,12.59,9.21,14.35,10.56,29.32,20.15,46.28,17.15,51.7,16.2,9.38,44.3,34.6368,36.21,19.35,17.85,40.27,16.494,22.75,15.85,32.9,7.56,24.2,28.0,29.23,26.0,38.04,32.19,12.06,34.34,17.25,17.32,16.0351,38.9182,20.8425,6.8,14.0,23.32,29.0,83.7326,32.74,29.25,15.97,67.99,18.17,29.8667,45.44,40.64,31.89,45.39,25.77,12.48,41.7806,22.8,9.49,53.39,50.02,4.37,18.75,28.6
09/04/2019,17.7,35.75,32.02,48.45,31.49,36.31,27.7,7.3256,37.03,32.69,23.63,24.47,47.71,12.11,37.5597,12.57,9.36,14.07,10.29,29.0,19.9,45.0,16.72,50.6,16.14,9.45,43.38,33.2574,35.0,19.02,17.6,39.66,16.12,23.0,15.6,32.55,7.4,23.7,28.1,28.71,25.7,37.21,31.7333,11.88,34.15,16.9,16.96,15.6365,38.6727,20.7887,6.77,13.8,22.87,28.55,83.637,32.45,29.16,16.05,67.3,18.03,29.1429,44.89,39.97,31.77,44.7,25.61,12.36,41.6409,22.615,9.4,52.35,48.6,4.34,18.51,27.88
10/04/2019,17.55,36.05,32.14,48.81,31.2,35.79,27.58,7.3747,37.99,32.39,23.4,24.98,47.62,12.34,36.2254,12.45,9.72,14.67,10.37,29.0,20.03,46.3,16.11,51.8,16.45,9.75,42.76,33.9271,36.15,18.79,17.1,39.9,16.0,22.54,15.53,32.62,7.28,24.24,28.3,28.73,25.29,37.95,31.14,11.82,34.09,17.11,16.41,15.3475,38.8091,21.0875,6.8,14.1,23.0,27.43,83.8624,32.27,28.78,16.1,66.55,18.16,30.0762,45.14,40.0,31.37,43.13,25.74,12.41,41.8006,22.76,9.42,51.76,48.28,4.31,18.33,26.98
