Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,HalfLife,Corr,Signal,SignalStr,PeriodQt,PeriodStr
250,TAEE11,USIM5,1.2135436601342246e-05,99,0.8933748565788061,4,0.4853438948295906,1.0917131372254998,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,CSAN3,FLRY3,0.00022456543883106117,99,2.325671726906727,5,0.6477422465760029,1.0936883283862897,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,ENGI11,VVAR3,0.0004687175176232428,99,1.5804773432717782,5,0.6160800967926648,1.0575679691190558,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,EGIE3,MULT3,0.00127082405663251,99,0.8331168611549227,6,0.5872551374102127,1.0308469102582911,Short/Long,9,"100,120,140,160,180,200,220,240,250"
220,BRKM5,MGLU3,0.0044965313114895015,99,0.5471326973415493,6,0.6179745136194882,1.0454750120295773,Long/Short,7,"100,120,140,160,180,200,220"
250,CYRE3,HYPE3,0.0007109796307581088,99,1.6659727078389213,6,0.5965880932588761,1.095825186003522,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,ITUB4,SANB11,0.0031297448185403465,99,0.6060457639296155,7,0.9023355187692236,1.039250060186491,Short/Long,8,"100,120,160,180,200,220,240,250"
250,LREN3,SBSP3,0.004467264862407021,99,0.7562397818774101,7,0.6199168252683541,1.0431697669407871,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,SBSP3,TAEE11,0.001449208086794204,99,4.258681711641795,7,0.5853342886582766,1.0476606322593682,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,B3SA3,CVCB3,0.004427006280705436,99,0.5153022151899712,7,0.6075345510129171,1.0394281657422404,Short/Long,7,"100,160,180,200,220,240,250"
250,GGBR4,MRVE3,0.003845223640549162,99,1.1846969661391686,7,0.628790907439085,1.089404861630511,Long/Short,9,"100,120,140,160,180,200,220,240,250"
